#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008     SA_00009     SA_00010     SA_00011     SA_00012     SA_00013     SA_00014     SA_00015     SA_00016     SA_00017     SA_00018     SA_00019
       1   10024.9617     652.2198     695.3868    1481.5267     407.0299     299.0302     206.1368     185.7538     182.2837     178.3748     182.2127     183.7843     229.2895     302.9752     296.8559     276.6666     494.0392    3050.1664     721.2295
       2   11915.9201     497.7112     401.0701    1773.1316     463.6771     428.3006     424.2783     397.6009     382.5989     471.3867     337.9781     271.9768     349.4382     332.0271     446.3146     390.4460     309.9056    3619.6377     618.4408
       3   11372.2364     742.6203     736.0560    1536.6916     617.2678     461.0423     313.0547     298.6957     220.5576     209.0995     184.4172     190.5733     188.3108     196.7807     205.2747     243.1402     378.2960    3815.8444     834.5135
       4    8957.2933     324.4801     270.2327    1131.5894     392.2243     407.2966     381.7421     394.6846     251.5324     244.5043     254.0163     262.7226     243.2388     234.9013     328.8328     413.2484     522.3633    2402.6945     496.9889
       5   11268.0374     419.1294     524.6067    1535.1820     523.9543     518.8446     342.6652     292.3807     275.6952     274.8501     259.2334     265.4510     327.1313     455.0907     465.6087     303.2252     320.6401    2990.0792    1174.2698
       6   11854.8333     523.6322     559.6077    1613.3429     490.6194     416.1900     446.5625     468.3022     371.3924     357.7580     371.3668     214.4232     205.0236     198.6260     250.9831     306.1430     426.5275    3410.7771    1223.5557
       7   10904.7039     326.4789     307.4422    1273.5516     559.0754     395.5330     436.1906     534.6823     435.8721     265.3729     236.0104     264.4064     255.3529     286.6308     279.5401     349.6482     366.5412    3229.2592    1103.1157
       8   14215.8250     704.4155     650.1698    2849.7207     733.9250     441.8813     462.0764     577.8716     443.1590     333.5702     316.1875     292.4683     254.8743     304.2908     328.4068     435.2563     721.4390    3335.8513    1030.2611
       9   12144.2198     830.0601     649.8215    1626.4290     409.7619     317.2400     261.6609     248.2375     390.3992     581.9379     594.0405     396.3709     318.4642     338.7308     443.6193     377.0690     349.6956    3248.5729     762.1088
      10   11159.2156     697.8309     458.3896    1547.1587     450.7617     348.0399     374.8379     491.0507     728.1415     541.1676     412.7727     355.6304     243.2930     233.0703     305.0954     495.4585     448.9253    2448.7742     578.8175
      11   10030.1944     529.7939     311.4067    1082.9062     378.5344     298.0415     333.6825     336.1917     334.8798     302.0775     285.3955     306.0329     230.4739     202.3341     206.3195     252.0430     439.9718    3333.8383     866.2713
      12   10293.8833     403.9875     467.9618    1295.8700     314.6369     255.3510     254.4733     318.2063     310.2045     221.5135     308.1456     452.8314     370.7342     433.6201     393.0600     360.3775     341.4091    2790.0993    1001.4014
      13   13161.2003     439.8228     437.6929    1687.4864     661.9123     495.6578     500.6881     526.1944     909.7831     707.4443     402.7559     235.4672     249.2334     396.4698     434.6736     329.6857     421.6573    3288.8989    1035.6763
      14   12074.5895     780.4458     630.3045    2052.5164     461.2989     335.6656     316.0735     357.7750     287.8843     207.9216     177.6323     171.4678     174.7316     176.6097     294.2873     399.9028     439.3856    3940.2700     870.4168
      15   13272.5251     364.2725     510.7060    2036.5983     523.1309     410.7732     377.4847     368.4555     340.5261     504.0624     361.7888     318.3139     291.3761     225.8038     271.7960     304.9031     296.2663    4796.5791     969.6884
      16   11734.9048     689.2194     592.2088    1388.9064     296.7088     246.6464     287.2942     322.4036     307.3529     345.0062     564.3557     522.4176     298.7944     209.9970     219.6014     290.4475     394.3278    3936.1441     823.0727
      17   10475.2539     656.5362     790.7883    1589.5645     320.9878     237.2051     194.8325     192.9439     190.4706     276.7458     472.1989     482.6530     544.1206     481.9364     267.6024     222.9129     325.5626    2370.0180     858.1745
      18   11722.8957     360.5694     423.7964    1694.5259     509.4878     626.3670     427.6901     401.5075     261.1018     192.4939     178.5575     175.6160     173.7782     192.0719     266.7859     553.6996     622.6258    3671.7437     990.4774
      19   11975.9533     588.8075     559.9949    1413.5309     562.2884     481.2955     268.3545     253.0079     219.5678     243.1051     291.2926     342.4654     410.9105     439.3338     453.4024     364.9253     351.7439    4211.6813     520.2453
      20   12410.7950     394.9388     372.4770    1368.2676     635.9550     526.4982     476.8485     508.0002     481.3966     448.4468     416.1023     324.4510     357.0033     358.2438     416.5826     412.1985     355.1358    3493.6320    1064.6168
      21   10499.8253     760.9538     386.2307     961.7914     414.4832     376.0026     469.3088     435.3020     333.1189     323.0611     304.7859     327.5660     315.9812     312.0153     290.8701     345.6408     500.3401    2979.6064     662.7670
      22   15896.5222     502.5977     541.5106    1862.3062     564.1351     421.2376     463.8158     561.6357     600.0560     576.0530     447.9036     565.8797     676.1210     528.5153     400.3163     364.5481     394.3647    4986.5870    1438.9387
      23   10543.0731     467.3864     408.6224    1123.2956     437.8688     273.6503     208.9384     240.1889     369.5724     445.2158     484.0265     300.8352     291.4747     472.4560     328.0861     287.5449     376.5416    3094.3449     933.0241
      24   12485.2586     559.0855     869.6385    1936.1958     622.2823     412.8349     338.1585     260.9929     224.2064     278.4454     379.0455     320.8475     316.6664     280.5962     299.8572     394.0480     538.6398    3508.3215     945.3964
      25    8630.5614     385.8268     306.5731     943.7746     281.2055     269.1303     217.0989     212.3509     235.5984     248.0572     227.9529     224.6162     299.5521     349.9540     253.5395     215.0577     257.2787    2929.9621     773.0325
      26   11249.3223     446.8585     459.5183    1129.2773     517.1419     430.5986     355.1489     359.4881     395.4748     297.0347     312.4731     310.6660     325.8120     271.4847     228.4388     290.0181     350.0892    3603.8145    1165.9848
      27   10945.8611     482.3951     556.1446    1552.9582     536.1650     448.5125     461.5299     315.5255     198.7307     187.9332     187.6329     190.9768     228.4068     238.3563     311.0645     453.4606     767.6985    3012.2387     816.1314
      28   11961.0888     548.7985     481.4197    1658.5044     544.4719     346.6305     317.0635     301.1976     506.2018     515.9207     475.9579     299.3149     238.7578     235.7341     324.7666     412.2186     557.6765    3104.7543    1091.6992
      29   10207.0687     421.9906     292.2250    1005.6949     291.7959     253.8629     368.9675     428.5365     423.9661     429.6818     311.6660     291.2985     321.9366     317.5406     310.6508     281.8988     304.0706    3074.7813    1076.5041
      30   12106.2665     709.9819     479.1982    1277.9884     430.3451     404.6479     321.2483     393.1786     423.6147     500.3216     577.0789     843.3570     550.5696     321.1356     197.8656     203.2700     281.3652    3305.1579     885.9417
      31   11397.2091     455.4721     524.9931     874.4716     395.4001     333.3135     411.2940     579.0569     726.7818     607.5436     305.1473     196.2091     184.6682     177.9156     187.6340     301.7539     421.0522    3570.8003    1143.7019
      32   11700.3048     528.0005     578.7508    1691.8732     502.5780     362.9261     328.4763     399.3459     306.9507     493.3918     689.5396     467.8006     283.2264     209.3206     218.1709     291.8117     347.9139    3381.8149     618.4128
