#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008
       1    5596.1844     463.9372     378.3132    1258.2750     346.1374     271.0293    2389.5782     488.9141
       2    6719.0324     305.1862     235.2617    1451.4609     400.4535     434.2734    3050.3714     842.0253
       3    8114.7123     691.6754     773.6529    1420.2258     517.8350     474.8380    3400.4477     836.0374
       4    5929.6457     372.2075     302.1322     929.3160     361.0098     379.9248    2815.9889     769.0664
       5    6801.4811     394.5535     335.9205     913.3529     531.5995     440.7914    3358.9894     826.2739
       6    6821.9289     410.5337     536.6634    1293.6848     394.6857     377.3277    3061.3067     747.7268
       7    6007.0150     600.9407     425.6817    1367.0342     488.3595     394.8426    1883.4367     846.7194
       8    6648.6163     522.3070     469.3093    1507.2938     515.5588     386.8608    2424.8163     822.4702
       9    7138.3031     421.7306     497.4218    1541.0187     574.2815     404.5607    2877.8955     821.3943
      10    5666.9604     429.6090     370.7997    1139.7344     309.6898     247.3415    2417.0286     752.7574
      11    6084.8864     397.4966     292.7763    1421.8437     472.5927     445.4142    2490.1852     564.5778
      12    7095.0330     473.0291     410.7331    1514.4848     475.2681     419.3625    3125.6138     676.5416
      13    5470.7156     335.1581     298.3687    1099.4168     393.4024     325.2726    2510.2486     508.8484
      14    7514.0202     351.4067     285.2983    1416.7976     530.3145     522.6333    3596.5560     811.0138
      15    6636.7103     318.0083     252.0501     957.5218     454.4169     427.2111    3401.2472     826.2549
      16    6512.3808     629.7236     438.9870    1039.5487     350.8794     315.9535    2698.0777    1039.2110
      17    5810.4672     334.9023     254.2586     993.9106     279.1920     346.3190    2858.1151     743.7695
      18    7178.5091     469.0270     388.8419    1525.7717     461.7398     381.9647    3239.7278     711.4363
      19    4549.5445     382.9049     320.6761     927.6616     301.2521     273.8395    1840.4233     502.7870
      20    7275.6895     546.5567     492.5310    1374.1996     353.4755     402.9434    3295.9414     810.0421
      21    6775.0777     550.4643     390.3661    1712.1819     561.0083     515.0537    2155.7967     890.2067
      22    6246.5885     643.0996     460.8735    1598.8557     490.6696     355.9508    1872.1884     824.9509
      23    5892.8792     453.9513     282.5089    1002.6161     383.1595     299.3859    2802.9125     668.3450
      24    6368.8728     522.2765     508.2420    1444.4763     351.8563     271.6957    2732.7481     537.5777
      25    6100.8659     384.7845     448.4574    1211.6857     473.7788     427.2175    2585.9097     569.0323
      26    7307.8597     530.8252     377.4587    1355.4776     394.3613     360.0116    3500.9428     788.7825
      27    5938.2657     628.6086     503.6622    1313.2770     352.1726     281.1015    1997.5171     861.9267
      28    9178.3255     598.5681     658.0960    2290.3178     482.1640     429.1524    3840.6147     879.4124
      29    7855.4530     555.1729     379.0702    1668.8912     475.0902     381.1072    3652.5643     743.5570
      30    6754.2161     311.4828     289.3080    1753.9121     439.0653     402.9974    2893.9989     663.4516
      31    8195.8791     450.1250     531.6821    1536.3974     536.2797     504.3032    3806.1532     830.9384
      32    5963.7411     463.2256     423.0947    1235.6604     335.5963     266.5265    2319.1168     920.5207
      33    7293.9197     383.6531     401.8358    1356.8184     571.9652     478.8667    3306.2163     794.5643
      34    7840.7681     485.9229     577.4404    1572.2394     577.9612     449.1707    3228.3456     949.6878
      35    6122.6790     473.0950     378.8469    1134.6950     375.9079     293.0571    2562.0286     905.0485
      36    6766.9386     363.1665     474.0238    1309.7745     467.7626     450.0839    2866.4483     835.6790
      37    6128.5849     579.9497     355.9306    1339.8123     539.2716     381.6460    2108.4605     823.5141
      38    8682.5422     695.2635     401.5359    1578.9349     557.3084     546.7561    4043.2332     859.5102
      39    7182.5791     415.8412     360.4722    1567.1972     398.6904     365.4875    3349.1355     725.7553
      40    5682.0288     347.8141     266.9566    1067.9785     358.2957     346.2434    2632.2295     662.5110
      41    7887.2201     602.4977     648.8431    1578.0849     527.7377     479.0021    3550.5376     500.5170
      42    6054.4555     500.6776     348.4126    1142.9391     390.9015     378.3538    2587.2266     705.9442
      43    7466.1235     534.2631     531.6011    1634.9831     377.7031     328.6105    2983.1172    1075.8454
      44    6311.8152     626.3164     508.5164    1116.6601     385.7650     368.6414    2572.6913     733.2247
      45    5377.1331     513.8412     344.5987    1275.5533     395.8552     309.0018    2057.8328     480.4501
      46    7433.9443     341.4040     372.0345    1570.3203     570.4307     373.1205    3319.3438     887.2906
      47    7423.7368     573.1916     569.5681    1616.0802     476.1612     389.7891    2921.6054     877.3413
      48    7736.9070     704.7332     529.0230    1616.4032     501.4157     373.9858    3171.4983     839.8478
      49    5674.6690     369.4107     352.9557    1369.7576     366.2672     311.6717    2434.6663     469.9398
      50    6245.3449     566.4546     497.1041    1018.0810     539.9623     520.8529    2426.0484     676.8416
      51    6995.8419     676.8577     442.1437    1824.7972     483.4899     445.0060    2254.6577     868.8897
      52    5441.1019     318.6553     239.1503    1138.1055     525.4282     499.6076    1983.6677     736.4873
      53    8692.4053     707.0599     582.4514    1885.6251     566.2533     450.3631    3633.2040     867.4484
      54    6352.5759     620.2222     545.7230    1374.5886     386.6391     297.2660    2220.6431     907.4938
      55    9103.1906     558.3426     845.1294    1640.5058     563.2190     369.0158    4175.5845     951.3935
      56    7218.9048     647.2029     515.1756    1550.1294     530.3080     430.0887    2794.6693     751.3308
      57    5725.4466     442.6781     314.9537    1173.9237     281.5092     304.0271    2450.0685     758.2862
      58    7858.7545     560.0789     443.9583    1437.5621     439.1045     373.7805    3766.0949     838.1754
      59    8127.6010     345.6316     493.9300    1508.9092     462.9101     404.5920    4037.3759     874.2522
      60    6784.1747     412.7054     383.6447    1672.3821     505.7694     359.3324    2813.6409     636.6998
      61    7598.1715     553.7963     673.0527    1456.3398     449.4662     437.2888    3210.6444     817.5832
      62    6564.8832     531.8538     445.2707    1291.9838     303.6800     270.1197    2686.9388    1035.0365
      63    5626.5869     338.6696     271.2381     869.8748     370.4010     313.3121    2743.1806     719.9107
      64    7437.1648     495.5430     418.6033    1188.9051     473.6192     334.1992    3484.9902    1041.3048
      65    6389.2506     373.3153     260.8280    1103.3029     433.5709     419.1393    3060.3769     738.7172
      66    6893.0865     605.3899     452.1844    1399.2787     474.0881     444.5768    2862.2197     655.3490
      67    6993.4303     316.0218     247.7084    1247.2184     509.4111     403.5138    3545.7917     723.7652
      68    8001.3092     688.6661     600.3827    1690.0005     498.9120     405.4999    3433.0552     684.7928
