#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008     SA_00009     SA_00010     SA_00011     SA_00012     SA_00013
       1    7791.7849     349.3049     351.0386    1159.0916     600.6279     326.4785     240.5831     209.9228     216.7783     245.0360     321.2179    2981.2514     790.4538
       2    7530.3705     450.7875     397.9031    1499.7151     397.7307     386.7716     332.9518     249.6001     225.9902     289.8399     426.0337    2271.3329     601.7138
       3   10243.9441     406.5442     424.6113    1439.0762     534.8449     478.9959     411.2130     335.7214     363.7155     335.2250     340.5916    4225.2826     948.1226
       4    8527.0942     690.1460     420.7337    1293.0027     590.2464     354.4661     333.6010     253.4127     212.8003     211.2088     272.1451    2939.6736     955.6578
       5    7931.6779     423.2256     460.5971    1406.9595     272.0941     180.0483     166.7458     160.5194     175.4803     210.6072     258.4411    3451.8644     765.0951
       6    9255.8466     315.9311     256.0576    1372.0754     613.1724     505.8799     476.3563     316.5439     352.3183     295.8988     324.5098    3613.5823     813.5208
       7    8958.4459     952.4511     511.4241    1466.9877     379.6472     309.0816     341.4387     490.8834     394.2491     322.0809     302.5267    2841.7519     645.9236
       8    9913.6996     558.1046     383.7873    1697.5310     552.3136     537.8495     324.0463     267.7150     325.7664     318.7070     359.4645    3403.0410    1185.3734
       9    7827.3016     397.9276     362.5251    1213.0218     508.5088     431.4927     401.0368     305.5580     221.7678     214.8738     296.2288    2578.5291     895.8314
      10    9877.3234     574.1803     563.5899    1746.9430     793.1840     378.3512     259.5146     368.7473     602.4838     410.8603     358.6640    2953.8205     866.9845
      11    9357.5513     597.1231     626.0696    1483.3127     502.4036     428.5843     406.9310     247.6092     237.1961     252.9255     388.5910    3493.0617     693.7435
      12    8549.4197     415.2251     345.0028    1441.3615     424.6774     322.3751     301.4294     333.9952     261.0433     261.2362     403.5070    3266.9208     772.6460
      13    8107.8052     352.2075     281.1282     970.5636     385.4719     306.1971     253.0932     331.3327     355.2926     386.7568     485.5704    3208.1106     792.0806
      14    6596.1507     410.7803     307.2493    1147.2509     257.5018     193.0248     172.8033     171.5399     181.6402     200.7171     288.2396    2491.7363     773.6673
      15    8388.3963     332.1982     282.3560    1389.5517     514.3621     460.4933     455.7573     345.4349     243.9037     242.6146     264.8129    2774.4653    1082.4463
      16   11079.4291     458.6396     395.4080    1582.5283     462.9324     426.1977     533.4336     567.1169     534.6990     430.1260     434.6065    4278.2208     975.5204
      17    6871.7702     421.0849     363.9211    1167.3009     381.7386     249.3007     238.0798     245.0573     248.5622     320.8049     373.7471    2216.1265     646.0463
      18    8234.2381     354.8488     391.2276    1691.3123     478.3697     282.7158     244.1553     229.4898     257.9966     341.6686     386.3037    2896.8144     679.3354
      19    7433.2620     912.0224     611.8847    1149.9358     457.5636     278.1092     212.8903     180.6095     167.7217     176.0005     250.7066    2187.0571     848.7605
      20    9672.9406     605.5661     371.7882    1670.3615     388.6734     512.5922     396.0713     227.3525     203.7170     260.9561     359.3239    3536.2777    1140.2607
      21    8328.0466     318.6979     276.3901    1440.2219     452.6392     335.1499     260.5034     247.9958     253.2284     330.7785     317.8382    3111.5118     983.0914
      22    9720.0166     943.8955     642.6286    2099.0082     462.3541     461.8501     403.8362     220.1229     193.9779     221.2612     301.7970    2752.7619    1016.5231
      23    8763.9347     576.6721     533.4187    1535.3943     387.2333     297.4149     314.1877     330.0525     458.4206     351.9642     413.8357    2852.4082     712.9326
      24    9071.9174     936.9003     448.1289    1280.1609     430.9117     270.3672     218.7803     263.3443     371.9971     407.6771     313.3039    3311.8355     818.5101
      25    7282.4259     478.9477     338.0125    1189.5712     312.8277     274.1502     240.0664     204.5721     261.6271     299.8045     291.6736    2591.0799     800.0931
      26    8498.9003     503.3876     432.6823    1670.2452     447.8997     301.4961     337.3057     270.7689     272.8531     221.5695     257.9332    3183.4418     599.3173
      27    9558.2433     357.7365     304.4016    1583.6049     494.6878     449.0157     458.5210     417.6957     276.0370     299.2516     353.6559    3491.5060    1072.1298
      28    9622.9571     765.9032     597.0148    1383.5307     436.3897     490.5974     392.0097     313.6267     345.3409     412.4968     321.9962    3429.2120     734.8390
      29    8965.9713     694.0483     449.3154    1350.8570     256.8149     212.5851     194.2160     187.3133     224.7525     267.2734     361.2333    3898.5307     869.0315
      30    9950.5082     572.6387     308.2644    1216.3854     660.5820     584.8440     572.7622     645.9068     460.8225     321.4622     349.2137    3453.7398     803.8865
      31    8976.4144     838.3291     594.3367    1420.4238     552.2302     286.2566     191.2957     180.1955     177.8835     200.4683     333.6213    3313.9712     887.4025
      32    9413.5691     741.1953     739.7995    1537.7691     598.7967     346.6475     399.2454     389.6224     331.9885     308.7735     312.9132    2716.4172     990.4008
      33    8276.8537     375.8435     371.8827    1879.8846     602.8489     288.9652     275.3912     429.8894     480.3768     399.4776     417.1009    2008.7099     746.4829
      34    8531.4307     449.2320     419.3413    1363.3736     503.8167     371.8006     463.0607     636.9700     376.4061     276.0563     281.8916    2713.3120     676.1699
      35    9856.0834     690.0822     523.4585    1765.5520     540.5622     452.4237     537.9711     438.3486     415.1581     290.3943     395.2170    2715.7001    1091.2157
      36    8184.9284     600.6108     582.8907    1405.8402     466.9225     423.6492     474.6037     296.2421     220.2078     223.9380     291.5856    2506.4050     692.0328
      37   11564.3209     667.9212     748.9343    1406.7354     490.3232     704.8314     726.0944     408.1631     461.2854     589.2776     501.6158    3935.6059     923.5332
      38    9285.9535     482.3348     543.2828    1924.1978     655.4819     354.9853     247.9305     200.5563     196.3764     221.3965     354.0644    3222.2380     883.1088
      39    9253.6478     317.6729     305.5575    1759.4747     629.2450     563.0252     400.2536     315.4854     433.6746     386.8364     466.9259    2712.6825     962.8142
      40    9953.0322     465.7966     396.0959    1874.6025     694.7422     355.1321     389.3717     257.1733     224.1303     318.4374     404.7271    3861.8519     710.9710
      41    9309.2049     527.6336     401.4837    1432.0404     611.7647     403.0152     517.6610     531.8654     363.4364     262.7586     252.4164    2826.6256    1178.5039
      42    9082.4122     352.4862     302.4065    1461.8675     431.0642     346.0905     423.2861     439.6146     467.3699     411.0156     355.1743    3341.1858     750.8510
      43    9357.9246     568.3440     570.8847    1426.8209     536.7868     409.7372     466.4574     300.6826     324.4924     364.1772     404.2928    3203.5840     781.6645
      44    8092.1245     462.1225     442.5531    1318.4990     353.5441     251.9078     234.7262     234.5321     356.8127     361.8128     439.0837    2873.8257     762.7049
      45    9580.2010     600.0054     350.3523    1522.9268     456.2099     496.4400     434.8691     259.7245     356.9852     403.8407     495.6186    3391.7726     811.4558
      46    8860.4781     492.4066     407.1193    1517.4883     699.1092     732.3072     467.4849     331.8452     373.1656     374.7311     444.3928    2524.6455     495.7825
