#Frame        RoG_ITP RoG_ITP[Max]
       1       6.5553       7.1026
       2       6.6476       5.8602
       3       7.3835       9.9142
       4       5.8667       6.0270
       5       5.8889       7.3755
       6       7.2964       7.1607
       7       6.7213       8.1724
       8       5.5620       5.5074
       9       5.2135       5.2573
      10       6.7610       9.3238
      11       6.1781       4.6024
      12       6.3758       8.5290
      13       7.2115       7.0894
      14       6.7163       6.1218
      15       5.9526       3.9883
      16       5.0444       3.8430
      17       5.0628       4.2169
      18       5.7604       6.0282
      19       6.1840       6.5118
      20       5.6827       6.5953
      21       5.9903       4.3159
      22       6.1647       6.4681
      23       5.8768       5.2870
      24       6.2346       8.7702
      25       7.3353       9.3957
      26       5.0761       4.6127
      27       5.9890       4.3473
      28       6.4872       6.2080
      29       5.4701       5.0602
      30       7.1769       9.1931
      31       6.7025       9.2950
      32       6.1013       7.6008
      33       6.7948       7.0665
      34       5.7734       6.5048
      35       6.6210       8.8060
      36       6.0783       3.8558
      37       5.2343       5.1002
      38       6.3242       5.7303
      39       6.1139       8.1235
      40       5.3699       3.4375
      41       6.2895       6.7866
      42       5.8444       4.7509
      43       6.2451       6.9792
      44       6.5116       8.2692
      45       7.8979      10.2956
      46       7.1432       8.9770
      47       6.0017       8.4766
      48       5.0688       3.7569
      49       7.2590       7.1026
      50       6.1396       7.0088
      51       6.0372       5.0269
      52       5.7015       7.2901
      53       5.8309       7.3173
      54       6.0935      12.9491
      55       5.8282       5.7381
      56       5.6770       5.4996
      57       6.1248       8.0878
      58       5.5364       5.4695
      59       6.6932       8.6946
      60       5.7742       4.7915
      61       6.8209       8.4519
      62       6.9709      10.1056
      63       6.4112       6.5728
      64       5.7720       6.2583
      65       5.9438       5.1014
      66       7.0542       8.3888
      67       5.8535       5.3351
      68       7.1497      10.1445
      69       6.3002       6.5005
      70       5.9487       5.5544
      71       5.3874       5.7949
      72       5.6952       6.0110
      73       6.2495       8.3818
      74       5.7965       7.6014
      75       7.2669       9.1205
      76       5.9131       5.3544
      77       5.4132       4.0253
      78       6.0717       6.0432
      79       7.8873       9.7911
      80       5.9977       5.5810
      81       6.2931       8.3167
      82       5.9762       7.8852
      83       5.4401       6.2268
      84       6.5760       9.2093
      85       5.5671       7.4333
      86       5.1440       3.0536
      87       5.4811      10.6328
      88       5.8949       7.2833
      89       5.5471       6.1719
      90       5.3408       5.1020
      91       5.4912       4.5176
      92       6.6858       9.1001
      93       5.9340       4.3787
      94       6.6781       9.0434
      95       7.2334       9.1760
      96       6.4508       8.2962
      97       5.9042       4.4763
      98       5.5017       4.2313
      99       5.8974       7.7878
     100       5.6477       4.6206
     101       5.1501       4.7649
     102       5.2745       3.4950
     103       7.4393      10.0837
     104       6.0921       6.7187
     105       6.1042       8.1231
     106       6.1002       5.7562
     107       5.8006       6.1741
     108       6.2367      13.3149
     109       5.1028       4.5455
     110       5.9443       5.9553
     111       5.7119       6.3322
     112       5.2328       4.6900
     113       5.5020       3.3782
     114       5.0961       3.1591
     115       5.9792       7.8177
     116       5.6300       6.9984
     117       5.6282       7.0384
     118       5.6211       6.1906
     119       5.1825       5.6209
     120       6.7120       8.8934
     121       5.8563       5.8260
     122       6.1876       4.9517
     123       6.5937       9.4508
     124       6.7854       7.9300
     125       5.3549       9.3182
     126       5.6240       4.2610
     127       5.9586       7.9360
     128       6.1854       7.4011
     129       5.5881       4.7606
     130       5.7469       6.6387
     131       6.7153       8.5160
     132       6.3561       4.7948
     133       5.6966       6.9954
     134       5.8801       4.7672
     135 97309624670.3771 289676126049.4212
     136 196142774695.9733 626972294080.5176
     137 316096991175.1543 970329484094.7133
     138 477919069007.3885 1311923984664.0176
     139 655861658586.4517 1656607979142.7600
     140 838050428426.8134 2003988144414.6594
     141 1021632486309.1697 2863681861100.9126
     142 1207515627958.4966 3417361423896.6924
     143 1393334646343.0432 3971426459228.6372
     144 1580388131147.1870 4526749951692.3438
     145 1761957903120.0498 5078455607967.3477
     146 1936185042136.5725 5631447183132.2188
     147 2113443293697.0503 6188611510532.0752
     148 2287759440212.5381 6741601425410.9473
     149 2458319556582.2236 7292700513781.0566
     150 2634721146625.6401 7848559857275.2031
     151 2804020355074.4692 8399341900580.4639
     152 2978086114846.2129 8956109969993.1738
     153 3152862657743.2656 9512295576226.6719
     154 3323808884950.8193 10064804540343.8809
     155 3485325489968.6079 10613589839532.9199
     156 3656261320783.6382 11168389058588.0918
     157 3815051344075.3496 11716720269433.6523
     158 3970407654133.5337 12263216407465.2051
     159 4122411907773.1006 12816379336194.7930
     160 4270895755945.4473 13372426353894.3496
     161 4411324882191.1484 13929017375014.6406
     162 4543093580665.3779 14480117492894.8105
     163 4680212573182.5361 15027320063432.9766
     164 4816747847197.9902 15572735687757.2910
     165 4956808689138.9443 16121857487756.9766
     166 5096071326305.5752 16678087752823.2656
     167 5233363676692.5791 17234142274758.9395
     168 5367902063396.3896 17789486539874.8438
     169 5498574394635.7363 18343787072396.8008
     170 5626906263490.7451 18897427129493.5898
     171 5756315920141.5322 19451607100640.8281
     172 5879571637552.8418 20008806104061.2930
     173 5998199659527.5322 20568120456541.5312
     174 6120292515209.3447 21126716028311.8672
     175 6253763448385.1445 21683929797341.3203
     176 6386014309578.9551 22241737628043.7227
     177 6513878242745.0215 22801259855024.8398
     178 6632960395233.0273 23347815987437.5625
     179 6753283410442.4990 23895537808796.0039
     180 6875295791327.4424 24445840116772.3047
     181 6997641650672.5400 24998386490955.2148
     182 7122658581609.6797 25550498679961.5938
     183 7249328750483.7051 26103853785191.9883
     184 7376559329722.5283 26657166377957.3008
     185 7505853719503.5713 27216773276070.4570
     186 7650960049165.3545 27779376204196.6602
     187 7791467190790.4131 28342066204042.3945
     188 7938147107784.4824 28903893704244.0977
     189 8081508469247.4453 29465713207472.2969
     190 8226441624529.2422 30025017497509.1289
     191 8360904700481.1016 30588291611008.1016
     192 8497294015774.5371 31152419282793.4375
     193 8635659237435.3662 31711673655820.7344
     194 8778013311138.3125 32270247798143.5938
     195 8914096708812.2090 32833836135595.7188
     196 9050028161160.6836 33396729378111.5547
     197 9184005893733.2383 33962065515321.7148
     198 9316559440484.3574 34525573699169.3984
     199 9443307686437.6719 35079538042173.1133
     200 9568618613494.0625 35632622815241.9922
     201 9695906670282.9238 36185686956897.6484
     202 9822328115441.9219 36738060946083.8672
     203 9949001821646.9453 37292696180797.0078
     204 10072451643400.5820 37846521831221.4219
     205 10195644978401.2324 38397484492858.5000
     206 10319616935755.8320 38950692985798.9688
     207 10440367953706.6836 39504195718227.7500
     208 10561287317941.6133 40057752992334.2109
     209 10686753487387.7695 40611393957444.4219
     210 10789281542367.7656 41169273112658.4688
     211 10887164765557.3848 41729011631315.1797
     212 10986353409782.7383 42286746638413.5312
     213 11082389191969.7773 42844085976783.5312
     214 11179262613154.0879 43400145763183.0938
     215 11277415264646.3418 43958399002580.5547
     216 11375548272599.1562 44513612703032.2578
     217 11478485589517.0176 45070381823298.1328
     218 11581906529588.6426 45628194645341.8359
     219 11681933924396.0469 46187762189059.5000
     220 11783472475749.4609 46750724824279.4922
     221 11891014744645.4414 47311044366783.2031
     222 11999943675705.5703 47872080125935.4141
     223 12112359369748.0527 48430647787251.9453
     224 12218432621632.6465 48988910745351.5625
     225 12329941936107.9863 49546796626064.6562
     226 12444203673070.4473 50100445787739.4922
     227 12566482485113.9707 50652551095687.5391
     228 12689330065816.9629 51200559590198.7188
     229 12807639769355.7793 51751838321647.9688
     230 12920041075543.9648 52306256514397.7266
     231 13028377672784.8516 52862073043839.3672
     232 13132065667404.6211 53416283769558.0938
     233 13235287403609.9199 53970544845250.6953
     234 13325565988564.6719 54521470817081.0312
     235 13424849518171.9844 55074723049113.9141
     236 13524350961129.3066 55629116088933.8516
     237 13628712115621.1738 56180184411629.7969
     238 13732555572249.5391 56730539519273.2266
