#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007
       1    3838.8907     312.5239     235.4914     844.1850     282.7190    1688.8681     475.1033
       2    6775.1913     430.2238     425.3886    1530.6362     481.9530    3120.5373     786.4524
       3    6282.2322     419.7196     307.5496    1540.6877     409.8990    3102.4361     501.9403
       4    6786.8940     505.2198     522.0793    1130.5051     414.3564    3485.9433     728.7902
       5    5094.5381     375.5253     350.0685     964.5144     287.4377    2453.0190     663.9733
       6    4960.7323     350.8539     293.7189     838.8946     299.2243    2520.4712     657.5694
       7    6869.1190     565.3392     454.1688    1509.4107     503.0765    2966.2523     870.8714
       8    6766.5821     646.3069     412.4496    1280.5116     530.6531    3159.9654     736.6955
       9    5029.9208     479.4194     412.1981     968.9194     403.2837    2296.4793     469.6209
      10    4808.0708     389.2148     309.2539    1108.6019     356.2362    2064.5555     580.2085
      11    6077.5221     384.5004     370.3753    1226.2747     389.7062    2993.6843     712.9813
      12    5837.3162     573.6313     351.0069    1332.2958     425.6627    2573.4862     581.2332
      13    5581.9241     378.3046     359.0837    1339.5916     431.4572    2562.7272     510.7600
      14    6058.9773     371.8251     295.4308    1464.5302     497.7540    2845.8176     583.6196
      15    6984.3635     330.5410     257.5895    1696.0203     510.3818    3445.1285     744.7023
      16    5360.6936     491.7994     337.8340    1203.8993     345.1579    2412.2779     569.7252
      17    5985.0160     383.5535     391.7609    1164.0110     427.7202    2951.7988     666.1717
      18    7494.8002     440.7108     438.1644    1584.0969     592.7350    3595.7573     843.3359
      19    6598.5219     426.4598     360.0461    1189.0186     615.2647    3283.9892     723.7434
      20    5443.2444     304.5785     215.0014    1396.4061     452.8463    2432.5360     641.8760
      21    6257.6487     320.3173     294.7098    1202.9804     416.7585    3190.5818     832.3009
      22    5463.8150     375.8090     256.0982     950.8945     369.3720    2791.5623     720.0790
      23    5838.7585     409.5713     302.3292    1125.0588     387.5545    2866.5489     747.6958
      24    6831.9685     757.1218     544.8725    1069.1165     501.2697    3273.7208     685.8673
      25    7180.5050     335.7868     347.1218    1546.7896     576.3837    3589.5956     784.8276
      26    6025.2477     337.1717     275.7742    1077.0489     465.6569    3081.6754     787.9207
      27    6559.1150     370.4671     351.1555    1241.7340     415.6954    3382.0497     798.0132
      28    6911.3600     412.0289     490.8263    1262.2571     558.8463    3405.1502     782.2512
      29    7079.2115     416.1554     333.3299    1775.2096     461.0244    3403.8021     689.6901
      30    5846.5024     350.6563     356.0222    1242.1692     382.7009    2837.4329     677.5208
      31    7482.5217     644.2330     541.0563    1538.6349     401.9649    3607.9740     748.6586
      32    6768.2810     454.6270     511.7757    1147.3883     491.8884    3340.4795     822.1221
      33    5772.0331     393.7557     320.8723     985.5066     420.2705    2879.6917     771.9363
      34    8375.1705     535.8218     591.4529    1683.9152     457.3432    4229.6950     876.9425
      35    5850.3011     387.4365     324.8015    1300.2954     523.9901    2787.8698     525.9078
      36    6420.9361     373.1740     299.6345    1182.0609     460.5086    3322.8607     782.6974
      37    6714.2359     483.7620     462.1800    1390.0135     413.8861    3196.3020     768.0924
      38    6787.9300     479.8493     712.1796    1234.0933     473.0635    3074.3446     814.3998
      39    7881.2196     511.0151     511.6949    1823.5720     440.1318    3912.0052     682.8006
      40    6920.8349     446.2853     494.0153    1374.3056     353.1915    3453.5483     799.4890
      41    6085.9857     305.4674     237.5186    1162.3051     393.1421    3150.5642     836.9883
      42    5824.3702     568.4098     449.7064    1160.8230     457.0701    2562.7603     625.6006
      43    4721.0856     345.1881     290.4088     969.2143     295.9147    2241.2602     579.0995
      44    6487.7950     599.4969     659.7903    1778.0483     659.2696    2071.2721     719.9177
      45    5680.7311     544.7835     470.2039    1142.7127     611.0647    2067.7003     844.2660
      46    6897.2070     564.5321     447.8453    1820.2702     463.4645    3062.0045     539.0905
      47    7107.2758     624.9002     640.9117    1215.9952     391.4080    3339.1555     894.9053
      48    4591.6916     420.9140     299.7034    1144.9124     369.6962    1875.8682     480.5975
      49    6192.4709     702.4895     379.2133    1511.2996     523.1176    2470.6143     605.7367
