#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008     SA_00009     SA_00010     SA_00011     SA_00012     SA_00013     SA_00014     SA_00015     SA_00016     SA_00017     SA_00018     SA_00019
       1    9976.8454     434.7604     292.9371     286.0161     287.6788     301.6185     337.2614     487.9754     522.5741     485.9554     328.7110     224.6192     205.9781     235.1463     333.0585    1097.7052     535.0155    2927.1085     652.7260
       2   11433.0476     840.5963     495.1140     431.4330     378.0200     497.3710     396.5474     446.5118     395.8636     398.7663     457.1941     308.2397     307.3809     260.3229     256.6451    1174.7769     603.3807    3085.3088     699.5752
       3   11955.4958     420.0091     460.0873     441.1298     283.6792     256.4836     200.8682     209.2814     280.5444     451.8253     445.6298     380.0968     494.4209     520.5350     498.6298    1270.8813     542.9657    4090.9769     707.4513
       4    9280.2371     383.2497     309.4830     380.9414     582.5385     500.2248     277.4253     216.2378     221.0686     201.1188     173.7130     187.7954     187.7579     172.2287     194.5612    1082.3876     419.1439    3020.0188     770.3427
       5   10373.1164     536.1659     436.9349     232.4095     190.0984     184.8788     209.6817     261.4557     422.6841     357.6852     253.2566     257.3797     215.3413     208.2603     271.7708    1532.9609     590.2277    3508.1047     703.8203
       6   11816.0898     334.8008     449.3753     769.6303     492.5748     353.3935     461.7185     460.5538     535.9791     520.2768     363.4317     283.4613     258.9996     285.6204     339.2572    1539.3804     545.3440    2924.1034     898.1888
       7   10865.0239     590.1359     650.7267     710.8941     556.6450     385.2409     283.4059     230.9366     326.2347     387.4500     291.3642     273.3759     306.9856     394.2819     411.8634    1266.5306     421.7570    2788.2723     588.9231
       8    9722.5690     820.1073     325.3985     251.3657     315.9879     392.2148     378.8605     341.6831     232.9132     188.0206     201.0761     211.5963     262.4547     342.2802     375.7661    1346.2720     415.5606    2693.5461     627.4653
       9    8511.8663     464.6372     339.6210     324.3621     315.9950     240.2133     191.4660     185.4821     276.1073     334.6477     288.4681     221.5048     208.5984     210.1328     243.7962     933.4925     507.1272    2591.6824     634.5322
      10   12581.9632     444.1162     270.5443     300.3046     413.5304     644.5347     722.3270     568.4125     473.2215     381.6592     552.3444     324.3813     319.6068     371.2787     372.8670    1373.3402     710.3419    3672.2130     666.9395
      11    9847.0605     360.0624     291.8645     234.8979     295.0971     445.0256     447.4070     340.5344     236.0341     214.2803     232.9072     237.4371     297.3935     491.2812     644.3692    1346.7841     541.6458    2584.2041     605.8349
      12    9141.6983     519.8269     329.4331     273.2796     253.3248     250.2595     327.8703     401.8088     319.7985     236.2210     199.4584     205.0380     204.0419     267.7946     440.1142    1114.1876     415.7106    2755.5835     627.9470
      13    9075.3783     369.6104     221.3506     178.7436     181.1138     166.6907     205.4154     287.7424     313.3738     295.4960     328.9735     400.1884     343.6096     228.1397     266.5719    1075.0088     507.9467    2938.1803     767.2226
      14   11405.2416     880.9914     569.6238     375.9334     340.6439     385.1406     286.2899     320.0533     410.3261     363.1368     246.3771     218.6356     226.0785     247.0343     313.8093    1318.9005     843.3084    3345.4022     713.5566
      15   10126.8878     543.6618     409.1941     421.8591     336.6498     263.8751     353.1394     362.9129     244.5033     221.6280     250.0754     338.2670     444.0448     281.7402     282.2562    1426.4609     569.8432    2515.3823     861.3945
      16    9829.6570     348.3057     374.4553     269.8283     344.9023     356.2731     390.6982     280.8368     280.7462     229.7121     249.6015     414.6015     682.8522     444.8418     312.5723    1296.4636     526.1570    2383.1246     643.6844
      17   11303.1441     481.7569     235.8886     216.8871     223.8035     309.7862     270.6589     270.6959     256.0497     276.6775     373.7293     479.4176     641.7869     573.4736     536.9996    1478.6186     674.6817    3326.1666     676.0659
      18   11409.9265     444.8724     339.1690     309.1729     307.5297     322.7911     415.7038     454.1900     460.0265     406.9491     443.9833     385.9207     268.0219     254.9768     258.7457    1532.4186     598.5364    3385.6280     821.2908
      19   13339.2952     870.3476     396.9764     330.2439     509.4521     464.5361     290.1182     340.7314     331.1925     338.1946     427.2227     419.7461     395.3055     510.3362     414.6301     930.9756     519.6848    4895.1357     954.4656
      20   10684.8512     669.3691     458.4356     325.2641     380.4970     291.1904     333.4132     329.6604     320.9849     394.7342     310.9182     242.0654     201.1721     215.9918     375.4279    1427.8222     790.4831    2629.3306     988.0909
      21   10179.0597     396.5645     301.2709     371.3425     338.5472     455.5609     475.3739     455.2674     476.4830     356.8970     289.8766     268.7452     274.1695     299.4469     263.0036    1073.9366     436.5054    2878.7550     767.3133
      22   11475.8478     588.5046     290.8311     269.3872     377.7020     332.7062     299.2044     407.3411     366.6874     262.3459     304.8943     324.2719     350.8637     372.9325     320.8120    1204.9671     502.9041    3769.3371    1130.1551
      23    9955.7011     607.7892     441.0434     345.1532     259.6041     244.2901     237.7657     274.2552     270.2027     262.4466     312.6756     320.7422     269.2573     236.3356     259.6155    1146.4753     470.2660    3179.4203     818.3631
      24   10661.5998     479.7090     407.4875     236.2436     212.5156     197.3233     206.2220     291.4333     378.1806     449.9015     496.5302     409.9645     356.9505     286.9164     297.0056    1492.6136     360.5019    3229.9175     872.1833
      25   12066.4334     681.3564     968.2556     878.6823     511.0188     287.0866     211.4625     188.6885     183.5907     185.5885     195.1771     240.5710     371.7005     400.8868     341.6120    1675.6134     541.0859    3290.3732     913.6836
      26   12840.9509     585.2556     486.5465     701.5136     665.8175     476.8346     313.4368     222.0243     255.4520     402.2798     404.6100     363.5940     348.6664     288.2966     289.8813    1536.2741     362.3552    4045.7873    1092.3253
