#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008
       1    6105.1940     316.0004     217.1410     228.6686    1262.7426     390.5775    2980.3022     709.7617
       2    7172.1255     441.8743     353.9758     521.7824    1470.3934     455.8723    3183.5884     744.6388
       3    6688.6192     377.0891     288.3476     399.3172    1147.6220     443.8988    3262.2410     770.1035
       4    5564.6434     513.0663     378.7916     486.9616    1272.0062     491.2354    1833.9881     588.5942
       5    4959.4497     311.2613     252.1157     269.6837     959.4045     328.0294    2253.3143     585.6408
       6    6846.1781     556.0149     444.1899     386.7513    1170.6036     356.3871    3186.8173     745.4140
       7    5734.5485     378.9550     291.0341     266.0102    1008.6670     309.1704    2672.6766     808.0352
       8    6706.0904     358.9052     353.7975     488.3932    1465.5401     395.5148    2983.1587     660.7809
       9    5641.0354     566.9365     370.6437     301.1076     925.9159     469.0684    2396.8630     610.5003
      10    6865.4341     482.1608     388.2151     311.4754    1316.5664     347.2497    3237.4687     782.2979
      11    6054.0040     416.1500     245.5881     219.2942     948.8273     429.2328    3024.1706     770.7409
      12    6748.0606     566.7807     462.7759     301.4640     936.6633     516.0155    3141.9218     822.4394
      13    6615.3628     521.2778     346.6324     361.4716    1253.9939     512.4559    2963.0156     656.5156
      14    4583.9889     330.6785     289.0654     358.2701     930.9550     323.0085    1764.6540     587.3574
      15    8426.1415     861.2361     470.5862     371.7897    2122.7466     573.9227    3351.6670     674.1932
      16    4931.5188     301.4861     251.5122     253.1598     965.1434     375.6434    2262.9388     521.6352
      17    7488.7939     557.2976     368.8627     374.2125    1634.3849     432.9896    3368.8997     752.1468
      18    6772.6357     505.0053     286.3513     280.7827    1329.2520     420.2048    3152.1758     798.8638
      19    5187.3048     315.9672     250.6379     252.3431    1160.3255     379.8627    2251.2518     576.9166
      20    5945.1019     497.9229     323.7295     286.0560     839.3989     350.7938    2921.2273     725.9736
      21    7017.4387     555.5227     459.4294     347.7533    1007.4425     365.8235    3507.7459     773.7214
      22    6652.8212     324.9861     277.5986     326.3247    1575.5025     465.3848    2934.6474     748.3772
      23    6772.8049     541.9311     344.6631     318.0462    1225.7432     431.1207    3195.2701     716.0306
