#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008     SA_00009     SA_00010
       1    9524.0783     782.6901     529.8454     643.2365     840.3796     623.8164    1278.4017     413.7639    3489.0357     922.9089
       2    9161.0238     714.3396     705.6726     423.1672     311.2228     345.1314    1967.5334     790.6754    3102.5628     800.7187
       3    8968.2198     416.2758     288.1094     387.6299     518.0814     454.2627    2037.9083     442.6795    3756.7771     666.4956
       4    6995.2588     688.6310     436.3789     304.8595     325.0134     277.4585    1487.5944     434.1476    2521.9176     519.2579
       5    7693.3760     797.2122     534.2853     423.0229     321.6322     293.8707    1442.5579     512.6373    2630.7341     737.4233
       6    8041.4388     477.9032     316.5916     285.3244     406.0304     673.6136    1649.4025     531.3638    2983.2361     717.9733
       7    8343.9980     727.6148     476.5076     297.4143     275.8470     301.0683    1223.5887     495.6512    3670.5172     875.7888
       8    6927.7802     594.0703     287.9047     247.3695     269.0570     346.4638    1286.7909     449.4224    2766.1143     680.5872
       9    6669.3139     319.7681     233.3642     282.1660     298.3540     311.4399     960.4424     323.5914    3157.1075     783.0804
      10    6516.3998     429.4869     342.6366     428.6796     448.0610     301.0480     913.6001     382.4236    2717.9510     552.5131
      11    8399.0050     533.6112     423.1508     372.9982     508.5923     427.9549    1554.5800     420.0253    3273.9072     884.1852
      12    6828.9925     447.8454     445.1417     529.4845     414.4138     355.7821    1128.8545     529.3928    2434.4892     543.5884
      13    5667.5576     314.9454     221.6226     222.9602     233.3987     238.3638     879.4339     280.0996    2501.4476     775.2857
      14    8171.6337     812.4994     408.1336     351.9270     353.3561     300.0572    1550.8251     396.9668    3268.0149     729.8535
      15    5797.4470     371.6823     238.4617     214.0012     245.7267     344.2959     933.6975     397.3589    2404.4401     647.7827
      16    8094.4674     709.0200     433.2055     440.3871     557.3273     443.3578    1612.3892     497.6244    2647.2393     753.9169
      17    7851.9959     514.8035     395.2622     418.3642     412.9081     333.0013    1302.8869     576.3657    3127.1937     771.2100
      18    8109.6206     554.4754     434.6678     404.7440     248.8261     302.1661    1867.1515     491.8006    2844.0161     961.7729
      19    5901.0263     476.1134     318.4011     301.1239     378.1567     471.0038    1014.6199     301.5283    1960.4005     679.6786
      20    7198.9040     525.9275     326.0253     258.6281     210.2444     230.1173    1201.3028     613.6344    3104.9423     728.0819
      21    7585.0653     443.7641     431.2429     499.2389     361.0717     275.2386    1308.4523     591.9353    3020.0778     654.0438
      22    6630.3926     489.1333     365.7525     288.4652     314.4028     313.5703    1153.8438     336.0452    2642.7538     726.4256
      23    8741.6184     622.7390     424.6644     349.2660     352.2071     370.5558    1625.3111     556.0412    3771.4373     669.3966
      24    5875.1367     314.1490     235.3481     248.6280     227.6695     247.3891     996.5667     341.4889    2511.0967     752.8006
      25    8611.9174     688.7693     496.8084     573.1334     322.8068     432.2129    1644.9301     456.0807    2967.5275    1029.6485
      26    7108.9726     430.6754     303.7346     238.4377     271.4748     544.3748    1451.7345     388.9597    2774.6872     704.8939
      27    7933.1550     699.7242     539.1591     530.9023     465.0360     411.6908    1517.0466     438.7864    2232.8821    1097.9275
      28    7369.3396     408.2312     341.1883     325.2255     216.1073     213.7559    1140.4794     378.4623    3556.4571     789.4326
      29    7100.1119     323.4094     273.6705     283.7963     302.0608     278.4541    1589.5890     475.6661    2910.6499     662.8158
      30    5504.1647     366.8100     236.0961     215.9958     246.0835     261.8574     969.4774     282.9281    2284.9546     639.9619
      31    7741.2543     415.6965     524.5458     353.7698     227.8264     264.5358     911.7937     457.2945    3765.7092     820.0826
      32    5889.2079     309.9471     204.7967     247.0710     324.6389     314.1593    1187.9332     491.8621    2326.8517     481.9478
      33    9005.9746     800.3521     708.5810     413.1959     365.8215     363.9215    1192.0663     465.3945    3876.8769     819.7648
      34    7811.9758     494.4480     380.1481     474.2091     345.2732     373.7557    1146.4917     427.4649    3520.0985     650.0866
