#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008     SA_00009     SA_00010     SA_00011     SA_00012     SA_00013
       1    6010.7659     311.8051     204.8241     194.2208     180.6842     178.9160     187.1472     212.7483     289.8230    1040.3504     340.8451    2265.1053     604.2964
       2    7995.5153     457.3986     251.3677     232.7084     298.6884     380.7859     376.8989     326.6930     365.0673    1061.9571     486.2722    2985.5772     772.1006
       3    8481.2782     491.7117     468.2289     490.5916     450.4433     436.9142     344.3320     263.3996     265.4173    1397.6593     722.7345    2508.4573     641.3884
       4    9571.8139     481.8072     592.2551     573.2380     347.1212     228.4005     258.9236     411.2322     345.0898    1500.3298     526.9022    3511.4648     795.0493
       5   10279.5788     632.6176     539.1713     362.3932     260.3843     264.2041     290.2149     450.3915     445.6560    1515.9875     873.8574    3822.8386     821.8625
       6    9209.6021     427.9645     503.0701     340.6470     350.7490     429.6493     354.0771     234.3892     255.7953    1448.0613     526.1335    3597.5910     741.4747
       7    6662.0324     342.0122     234.4528     210.8206     232.9650     244.9826     230.0105     229.8158     254.8779     917.3299     314.8285    2698.0983     751.8382
       8    8049.7093     584.7799     465.2946     324.7794     294.3810     243.5038     225.5723     228.2863     249.4459    1662.0865     410.1220    2636.5922     724.8653
       9    8119.3499     310.4872     207.6392     208.6134     217.9192     262.4703     314.0061     387.3641     379.3779    1148.8954     463.1450    3397.7379     821.6940
      10    9369.6417     771.7837     521.2357     379.0792     259.9307     290.3163     370.1867     323.5545     315.2864    1464.7300     419.6728    3508.7999     745.0659
      11    8282.1619     713.8174     388.2761     246.6202     236.0025     298.9984     259.5007     241.4843     413.9540    1049.8141     498.6943    3420.6649     514.3350
      12    8016.9671     352.9020     349.0606     349.2719     347.0304     277.3960     247.1408     275.8712     336.0503    1110.8729     388.3762    3234.6464     748.3483
      13    8664.8843     555.3353     494.4562     423.0008     381.6717     394.3433     462.8369     355.2172     275.6875    1048.3393     477.1449    3078.4454     718.4059
      14    6455.4659     390.7239     236.8569     216.2359     213.4767     222.8877     252.0800     252.3219     319.5257    1330.4470     455.9646    1903.5921     661.3535
      15    7113.7791     414.0132     363.4764     281.8487     249.1960     312.0975     264.8854     344.4391     400.4588    1242.2961     301.8310    2279.6481     659.5889
      16    8773.6958     527.0727     492.1604     491.8924     417.4352     304.0277     335.7108     453.9512     422.3928    1083.5198     442.9428    2969.4228     833.1672
      17    9143.8829     596.2877     427.1267     404.9186     369.8823     418.7263     434.8009     399.2760     280.2097     985.4950     603.8305    3444.8494     778.4797
      18    7982.1410     616.6790     358.0936     281.3771     293.1295     388.1191     313.7703     209.4530     229.7247    1047.1263     367.6015    3147.7073     729.3596
      19    9461.7227     751.7857     636.8705     471.9796     289.0907     305.5891     438.8329     458.9083     568.5264    1213.1412     635.8442    2888.1399     803.0143
      20    9948.2879     502.4974     623.5503     346.2543     240.8253     257.5617     368.9680     385.7777     349.3731    1248.8286     512.1523    4291.6938     820.8054
      21    8505.4822     382.9745     332.9457     303.2945     213.1214     243.9621     445.7084     424.9290     356.8710    1238.4589     412.6545    3289.8235     860.7389
      22    8296.7383     787.9790     515.8772     477.4122     374.6485     226.6666     253.2033     248.4958     237.9245     978.2426     354.3874    3144.1823     697.7191
      23    7643.8050     468.1324     298.1786     381.1850     325.2475     289.8137     237.8956     239.9873     268.0039    1041.4650     341.3300    3050.5418     702.0242
      24    8832.9159     481.6419     375.9410     373.9321     340.1881     416.3105     456.7183     513.1003     480.3319    1218.5769     651.9580    2937.3366     586.8802
      25    7183.8990     341.9656     307.2455     323.1426     260.3949     210.9921     191.5030     192.7769     236.6903    1276.2376     405.2343    2744.5077     693.2083
      26   10169.3845     628.0762     752.1441     462.7206     337.6332     299.5662     345.7591     362.8418     547.2145    1691.4606     824.3881    2991.3357     926.2445
      27    8474.2227     705.6591     551.0330     650.9353     425.2402     268.7076     216.7665     204.9032     249.9309    1349.9440     607.9114    2517.0391     726.1524
      28    8395.2221     573.4145     304.7375     264.7573     256.7456     225.8006     236.1442     273.3780     371.5220    1414.4439     536.0875    3303.3059     634.8852
      29    7795.3967     421.8997     350.1230     413.2940     442.3488     318.1034     354.4659     304.2074     286.8828    1362.8883     623.6257    2229.3012     688.2566
      30   10552.9468     513.5189     388.1702     336.8487     349.1038     301.6123     265.8809     343.2765     568.2029    1502.1815     627.0323    4383.1675     973.9512
      31    8271.1495     938.9015     511.7574     311.9348     230.4905     316.4140     331.7557     278.9625     310.7838    1435.2713     456.0764    2471.8942     676.9073
      32    7689.3526     637.3985     541.5456     349.3983     221.4516     215.5587     250.6365     231.0812     260.2769     933.3540     455.5808    2962.6973     630.3733
      33    6443.3303     310.8857     217.2352     198.3161     243.9808     306.8465     330.4372     283.1053     295.3416     993.9583     375.2147    2352.3534     535.6555
      34    7422.3163     402.5297     279.0268     252.9680     285.9320     300.7302     354.3141     326.1749     336.3597    1062.8716     446.2059    2611.5190     763.6845
      35    9012.1050     566.7465     455.0595     368.7368     258.2309     214.0850     222.2210     423.2112     744.1653    1827.4012     603.6457    2687.8888     640.7132
      36    8957.9416     426.7980     286.8716     317.5315     304.9780     334.5936     279.3813     256.4615     315.5614    1674.4096     572.3518    3574.9190     614.0842
      37    8378.2553     926.3068     349.1729     214.9427     201.8377     200.5581     216.8199     227.6780     240.9134    1389.5756     439.3707    3130.4565     840.6230
      38    9619.7631     389.4995     568.5525     594.7621     449.0282     421.1637     541.5745     465.5552     345.6817    1419.2227     411.3027    3337.2628     676.1574
      39    8532.5615     475.2595     235.0956     214.7342     226.0419     254.7990     275.6120     357.1673     436.0009    1356.6768     389.8693    3531.0096     780.2954
      40    8678.8848     596.3775     419.1037     501.2077     504.3760     501.1481     383.9187     264.0445     244.0189    1174.3825     510.8428    2792.1622     787.3021
      41    7961.0500     420.6795     341.9252     328.1147     198.1639     170.5986     164.0793     174.3920     206.6246    1260.4396     416.1767    3485.5408     794.3151
      42    6855.4098     309.6817     202.6786     184.3903     181.4480     234.9035     330.7872     470.3803     332.4644    1101.1837     394.1147    2596.5081     516.8690
      43    7982.3131     676.8334     460.8089     267.6892     278.7214     403.6955     479.3619     296.1353     346.3965    1217.9158     613.0519    2352.0660     589.6374
      44    8955.5425     439.2240     368.9784     476.6214     355.2341     474.6215     363.4740     317.8371     390.3757    1275.5360     432.1025    3193.8530     867.6849
      45    6817.4215     443.2854     316.2645     265.7998     276.7329     331.8989     300.1075     254.0671     253.1300     858.6223     279.3344    2514.1503     724.0285
      46    9290.2644     740.5414     577.9507     586.2755     356.4180     249.6472     197.0331     194.2538     256.6397    1368.1044     609.0148    3483.6340     670.7519
      47    8646.6947     498.1434     387.9071     407.8326     532.4831     662.5092     661.8820     396.3823     355.5203    1023.3139     378.3248    2624.8382     717.5579
