#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008     SA_00009     SA_00010     SA_00011     SA_00012     SA_00013     SA_00014     SA_00015     SA_00016
       1   11542.7053     499.6608     436.7770     619.4535     806.0037     602.8375     358.2774     362.4470     415.0471     370.1698     266.8645     393.5172    1624.6341     459.5569    3241.2775    1086.1813
       2    8071.1960     604.3826     386.1586     268.2405     258.4245     263.6932     209.4671     174.2154     172.1046     190.9068     213.8376     270.2178    1256.7154     447.1011    2476.2117     879.5191
       3    8311.6058     419.5721     272.1721     252.5017     339.6107     373.4267     350.9996     327.1001     289.7495     223.6373     296.6155     474.3679    1243.7448     503.3357    2401.1216     543.6505
       4   10943.3466     344.1498     272.5445     413.2124     621.2162     515.8012     479.8089     399.2638     272.3455     252.4394     389.1212     340.0321    1348.8552     539.0323    3820.4114     935.1127
       5    9406.6456     331.9230     243.0330     296.3313     315.6439     490.2543     462.3818     340.9602     205.6229     188.9821     191.8626     260.6833    1535.0408     534.1511    3455.1848     554.5905
       6    8226.4028     367.2225     241.2864     222.8848     245.7828     282.9743     225.5332     222.5774     192.1224     184.6566     198.7286     286.4398    1578.0515     455.8084    2850.7513     671.5827
       7    9533.8964     298.1202     203.0639     178.1133     189.4954     188.1664     201.1550     207.9713     226.9821     221.6530     342.0149     373.6433    1685.8677     408.0287    3921.5178     888.1035
       8   10943.3720     416.8487     473.9052     389.1000     375.7229     488.7389     399.5948     295.3246     286.7474     336.3253     414.9293     489.4412    1492.9612     608.2823    3709.2269     766.2233
       9    8705.4850     610.6570     415.9160     280.9519     265.9316     223.3648     439.2228     518.4832     375.7603     323.5346     304.2566     280.0917    1156.0283     430.5176    2286.1891     794.5794
      10    9014.6159     548.1682     348.1784     224.1264     184.4912     198.0182     308.0006     349.3333     271.3203     258.1387     276.4073     459.8976    1452.4081     596.2140    2797.9868     741.9270
      11    9107.5838     560.0722     555.6436     597.2856     456.9574     362.9185     267.1124     210.1379     197.4190     211.2613     286.6301     354.3866    1691.5624     409.0309    2242.4062     704.7596
      12    8565.1243     325.6505     297.6872     247.0301     183.9387     188.1592     264.1246     276.8803     409.9692     410.4683     308.3757     297.7278    1226.9522     559.1636    2876.3852     692.6117
      13    9733.6252     466.7692     407.7240     428.0451     622.4226     426.1913     215.1116     196.3170     196.6519     199.8825     334.7053     390.4897    1057.6884     368.0373    3387.1863    1036.4031
      14    8758.9626     320.7844     202.9832     175.6634     167.9048     172.2955     184.5940     205.3171     322.6672     407.8534     302.1794     323.0741    1749.0461     560.7843    3118.9872     544.8287
      15   10767.6040     381.5487     270.5661     428.2331     648.0822     494.1363     364.2772     334.4892     350.4761     417.1575     405.8597     321.8651    1485.5106     440.4085    3799.2302     625.7637
      16    9251.5065     815.6720     383.5661     314.5199     283.3446     256.0916     224.3000     239.3686     275.6289     324.8670     331.9486     465.6994    1707.3140     543.9603    2395.1044     690.1213
      17    9550.9003     507.7654     278.8976     221.9282     336.1911     333.4008     352.4590     440.3649     264.8791     264.3196     356.1553     466.1560    1518.3683     502.8072    2961.9034     745.3044
      18   10525.0773     890.0708     363.1118     275.1335     202.4081     228.1658     355.2354     512.6644     558.6777     442.8765     370.0763     400.9540    1778.9599     567.8181    2504.8368    1074.0881
      19   10260.3084     600.6080     473.9035     396.1746     472.7877     427.1708     416.5901     402.4579     427.8822     303.8437     261.4382     292.5398    1601.0993     640.4100    2813.5417     729.8610
      20    8884.4455     502.8659     213.4291     174.1992     166.6286     205.6590     302.1948     338.7191     435.4556     423.2022     482.5798     540.8274    1046.1324     591.9987    2675.2838     785.2701
      21   10358.8782     681.5687     623.4640     370.7275     399.1163     234.8196     178.4780     180.4130     189.3111     318.2949     463.2279     370.6852    1310.5229     429.3111    3534.1840    1074.7540
