#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008     SA_00009     SA_00010     SA_00011     SA_00012     SA_00013     SA_00014     SA_00015     SA_00016     SA_00017     SA_00018     SA_00019
       1   13627.3601    1031.1773     561.2440     581.5926     394.0408     436.7677     443.8957     466.1211     326.3848     231.1692     241.2241     288.7376     413.0411     404.9553     451.0956    3651.1201     631.6521    1855.7176    1217.4236
       2   11412.8941     889.0452     347.9603     214.4108     205.1727     196.7581     216.4791     288.8667     444.6236     626.9767     370.6171     244.1107     259.3451     292.5115     348.3643    3076.9715     913.5295    1530.1484     947.0030
       3   10052.1192     309.8227     201.0207     164.1600     162.7050     150.0767     159.2622     156.5712     173.2223     201.9807     313.0814     367.9539     568.6714     565.2836     504.5028    3367.3158     646.4764    1293.4550     746.5572
       4   10666.8278     671.0652     423.6721     402.6771     282.9083     374.3358     329.5531     248.4258     316.8979     405.4620     452.8611     280.2240     278.7083     325.1876     344.2201    3440.2111     365.3904    1108.9577     616.0702
       5   10217.0507     656.5633     300.6125     217.3823     200.2065     228.7779     260.2861     256.8624     278.5103     210.3647     229.0845     206.7427     214.0281     269.2765     362.8629    3645.8694     459.5633    1539.3325     680.7247
       6    8433.0162     324.5766     251.0860     256.7010     315.3943     392.5945     404.9976     303.4358     337.2731     219.4056     178.3918     173.2540     172.5770     179.4860     219.7669    2162.7134     604.6971    1275.6144     661.0509
       7    9828.6963     362.6741     316.5558     406.1264     333.0995     219.4476     182.0503     182.9522     179.9001     207.3174     293.3143     312.4684     263.4755     245.4249     352.9208    3475.6880     467.1576    1295.4082     732.7151
       8   10059.3800     480.5794     573.2190     329.1039     204.1178     210.2261     286.6069     382.8218     388.4565     278.8100     306.1389     343.7934     310.4970     433.3246     445.9245    2145.7153     670.6854    1712.3527     557.0067
       9   11632.2609     426.1642     312.2947     277.5351     318.3584     344.5859     318.2403     442.1513     526.9833     434.5938     284.5313     275.8464     240.7539     218.4580     277.8149    3565.6003     789.7006    1829.2316     749.4170
      10   12406.6517     492.1283     362.6831     348.8767     301.3884     467.5374     453.2765     253.8591     225.1003     322.5834     513.5771     557.5313     463.0161     464.0461     546.3893    3489.9767     787.4525    1325.1663    1032.0628
      11   12469.3827     400.9371     293.8713     333.9542     366.2666     463.6319     607.7836     503.8625     416.2192     421.8091     409.6519     390.4115     517.4591     394.9692     348.2398    3024.9538     701.0728    1730.0650    1144.2242
      12   11620.4405     492.2649     476.4511     331.5528     269.3821     347.2449     427.6533     539.1207     447.5236     364.3582     374.1258     573.4118     554.9728     358.7564     385.0982    2613.1618     583.1267    1424.8607    1057.3747
      13   11733.2438     941.2069     360.5707     283.3904     364.8430     493.2078     396.1566     314.4717     258.4861     261.1465     326.3188     373.1264     351.2002     255.2162     358.1531    3172.8250     789.4866    1575.4291     858.0087
      14   11061.1388     361.7361     338.6650     385.8295     430.3854     404.5632     575.3279     551.9523     458.6753     373.2073     340.6964     338.4441     267.8988     268.4005     373.7142    3054.7064     444.0058    1461.0814     631.8491
      15   11084.7021     411.4824     284.2845     289.5504     267.0026     339.4852     395.1871     440.6953     526.0254     616.5314     387.3085     353.5073     467.8607     447.6916     405.5143    2524.0848     625.2183    1602.9670     700.3052
      16   10517.3923     650.5164     362.9924     277.8479     232.4106     228.0890     287.8919     325.1441     302.9263     229.9647     220.6497     242.0072     291.8554     246.1568     316.0309    3714.8413     551.6591    1249.1859     787.2227
      17    9341.3624     496.4313     235.7257     171.7923     166.4290     165.7330     158.8149     157.1296     167.0520     181.9290     287.3783     454.1728     367.0467     352.9452     356.0459    3058.7205     539.4087    1032.4151     992.1923
      18    8850.5807     297.0088     205.4723     183.9805     198.3212     354.4254     342.7512     235.3636     310.3450     374.5755     398.4086     384.2974     323.9054     295.1137     373.0134    2353.1215     479.2358    1206.6132     534.6282
      19   10177.4026     316.2938     200.1009     178.8072     164.0061     176.1243     207.0743     236.1087     227.8464     279.7002     326.5773     474.1939     373.1420     299.1284     365.0230    3354.6712     696.6313    1285.1713    1016.8024
      20   10362.5698     513.9629     422.7281     512.4528     346.6792     241.3871     187.9653     194.6971     179.2942     192.5311     249.8132     214.2055     205.6579     288.0869     413.6473    3635.5329     607.5799    1222.1322     734.2160
      21    9649.8043     457.7688     324.9397     239.7102     252.6401     228.4648     323.5901     335.2514     331.6652     445.5537     473.9905     372.6538     222.6959     227.7379     342.1278    2266.3057     657.0801    1302.7180     844.9108
      22    9489.1353     476.4205     278.1717     244.2561     195.1331     189.4696     198.0792     226.8408     239.2767     193.1209     229.2660     330.6578     474.8914     514.0354     479.5987    2713.9711     571.2653    1244.3947     690.2863
      23    8789.0540     420.4995     202.8474     169.6215     212.1793     339.6504     395.4105     268.3737     301.0879     373.6793     339.6550     234.4851     231.8256     294.9733     399.8373    2687.2449     435.0121     968.0755     514.5957
      24   11514.1548     342.6299     357.6454     479.0659     423.2183     291.3273     380.7505     268.5223     192.2045     181.2349     187.7111     189.1559     227.6229     291.8344     272.1651    3957.3772     517.4533    2064.5122     889.7237
      25   11152.2640     314.1200     221.4810     283.2507     417.6906     369.4111     217.5056     199.6773     206.6775     214.2638     218.4090     280.2639     357.7699     290.2649     274.6658    4130.5292     594.5506    1458.9242    1102.8089
      26    8408.1058     490.6612     474.0976     454.9673     398.2758     250.4634     213.8641     222.0974     222.2448     180.6031     163.0812     174.0714     181.3004     193.8619     234.8010    2112.8262     437.9429    1173.1513     829.7948
