#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008
       1    5863.1701     512.6853     261.8251     289.7884    2438.0702     470.7713    1137.6162     752.4137
       2    7248.4098     402.4206     431.2058     433.2860    3033.1514     483.3616    1672.1528     792.8316
       3    5700.0650     336.6384     361.1184     345.7044    2293.6623     459.9722    1302.5687     600.4006
       4    6041.2495     323.5269     284.6984     299.9110    2561.2695     454.7334    1455.1502     661.9600
       5    5774.5442     345.6306     301.3234     286.2581    2724.4260     400.7364     995.9503     720.2194
       6    6921.5382     517.4072     432.5365     677.7414    2838.3650     442.6305     997.3477    1015.5098
       7    7388.2484     481.4465     434.5831     391.2307    2901.9522     786.0491    1566.5353     826.4516
       8    6608.1268     370.2820     295.4011     359.0658    2747.6441     592.4178    1455.8712     787.4449
       9    6184.1932     413.7048     322.0025     330.0263    2864.8428     548.1155    1190.3734     515.1278
      10    5598.3949     386.3199     467.8146     506.2964    2150.8372     434.9810     902.8294     749.3165
      11    7559.3355     510.4656     481.1922     370.9765    3653.5937     526.4796    1317.0338     699.5941
      12    5215.5048     308.5164     200.2357     229.1361    2348.5154     450.7063    1020.8818     657.5131
      13    5661.9003     533.1076     305.1453     308.5262    2212.1231     498.8226     995.7109     808.4645
      14    7144.3766     500.5106     357.9292     362.8024    3181.7001     409.5733    1632.2818     699.5792
      15    4923.7849     319.4394     209.6358     233.8539    2161.8521     324.3117    1057.1114     617.5806
      16    5992.0212     570.2780     600.7371     374.9022    2391.4869     373.8267     995.3573     685.4330
      17    7355.6379     604.8144     453.1628     443.4512    3481.1676     501.0462    1051.7390     820.2568
      18    6288.8648     389.7241     329.2552     358.7121    2871.5204     471.0356    1020.9555     847.6618
      19    5846.8955     472.6273     336.0918     323.1304    2610.7982     457.4051     893.1267     753.7161
      20    7309.6033     750.0825     601.3854     551.8028    2675.9153     454.6914    1445.3445     830.3814
      21    6241.8173     620.3849     308.2250     292.1255    2897.8620     444.2004     972.2400     706.7794
      22    7086.9307     752.4653     663.3509     562.0110    2677.4702     569.8504    1370.5996     491.1833
      23    6609.4058     503.0144     330.4510     320.3413    2924.6909     556.0600    1401.4671     573.3811
      24    7523.4852     501.4306     386.5792     329.6237    3286.5003     628.1103    1578.3659     812.8753
      25    7404.3322     457.9276     386.3463     339.3918    3398.3895     597.5698    1437.3915     787.3158
      26    6424.4014     378.1919     318.9251     340.4772    2686.3425     517.5374    1378.8183     804.1090
      27    6348.5669     663.6149     323.5753     298.8164    2114.7807     586.6772    1463.8359     897.2666
      28    6100.6225     362.2269     400.2843     526.8225    2666.9121     385.9719     935.4702     822.9346
      29    5881.8589     371.1717     356.3794     354.1979    2362.8138     399.9168    1471.3917     565.9875
      30    6394.8544     323.3391     351.0715     516.4653    2459.0700     516.1688    1417.1119     811.6277
      31    7610.5550     793.5888     395.5894     349.0511    3307.9273     560.5496    1510.4827     693.3661
      32    4756.1672     320.8774     221.2067     270.3442    1842.0425     343.2029    1149.1658     609.3277
      33    7048.3654     938.1770     631.9228     422.5062    2614.9869     481.4524    1168.3636     790.9565
      34    6208.2360     681.3581     438.7175     433.8491    1939.6111     440.3379    1462.1575     812.2048
      35    7965.7436     585.0726     359.9098     363.2178    3255.2458     745.3594    1619.0613    1037.8770
      36    4974.8456     315.3151     218.2818     285.7365    2163.0839     427.0779     938.3038     627.0465
      37    6479.5137     427.2148     445.5207     544.7763    2706.7761     446.8207    1080.6338     827.7711
      38    7664.1605     500.1494     495.6617     496.9218    3399.5729     563.2860    1266.7432     941.8255
      39    4800.2006     330.1574     241.9233     235.2522    2054.5156     358.4342    1059.8315     520.0864
      40    5522.3185     398.2036     279.2972     389.5935    2223.3766     515.6524     968.6505     747.5447
      41    4804.5452     389.4842     271.8762     294.7365    1970.9339     363.3660     948.4770     565.6713
      42    6371.3883     520.7497     381.0502     406.4120    2639.5421     525.6041    1128.7179     769.3123
      43    8526.2143     671.0766     561.9680     401.4315    3667.8541     782.5952    1582.8663     858.4224
      44    6922.1032     373.0511     402.5904     556.9835    2884.0921     459.0913    1231.5782    1014.7166
      45    6823.6232     513.2477     392.1063     406.7042    3072.3065     527.7653    1245.3245     666.1686
      46    6589.6048     394.5202     400.0144     623.6899    2731.4361     450.1180    1029.4742     960.3521
      47    8106.2537     590.3220     484.6371     388.0992    3737.2072     549.9851    1358.9823     997.0208
      48    6229.2037     450.4116     353.5439     439.9933    2421.7486     497.6950    1203.5623     862.2491
      49    7268.5154     560.6674     382.7424     391.6781    3384.9020     618.0561    1065.0172     865.4521
      50    6112.4104     331.2373     342.7736     427.8707    2032.5878     606.9950    1612.4016     758.5445
      51    6316.2175     651.1169     454.8153     399.3327    2335.4741     522.7924    1110.2598     842.4263
      52    7278.8269     503.7570     398.4157     499.3026    3119.4437     564.3953    1414.9722     778.5403
      53    6765.7920     344.8723     324.8855     290.5321    3215.8090     547.6031    1286.6846     755.4055
      54    6324.8426     309.1162     205.2426     273.2409    2779.5880     551.1610    1327.0355     879.4584
      55    5797.0476     386.0608     378.2613     308.8079    2507.6717     453.6654    1233.0542     529.5264
      56    7133.0654     882.1212     491.5446     535.3315    2974.4233     466.1745    1030.2663     753.2040
      57    5266.4561     299.7057     235.4047     315.5972    2082.5818     382.7108    1280.6382     669.8177
      58    6860.5672     361.2720     339.6182     361.0636    3122.2762     538.3680    1313.7774     824.1919
      59    6106.4186     452.0364     316.6077     348.9837    2651.5423     405.7356    1087.1087     844.4042
      60    7665.5293     607.5689     452.6410     510.7929    2676.0127     727.7278    1783.5337     907.2524
      61    8555.8761     489.3640     493.3376     498.9863    3671.2349     699.5700    1583.2183    1120.1650
      62    6062.6385     428.4294     286.2474     286.8652    2669.3275     554.3006     976.2622     861.2061
      63    8159.9423     684.3538     829.3508     557.0300    3295.7282     713.8079    1240.8338     838.8378
      64    6606.9397     334.2456     269.2113     321.3086    3249.0203     533.2032    1109.5451     790.4056
      65    7590.2413     562.8342     475.6204     479.7054    3671.6065     538.5288     966.2795     895.6664
      66    6067.6302     769.3311     602.6920     434.5819    1893.5792     524.8274    1073.1553     769.4633
      67    7817.0918     704.2697     409.7382     288.6091    3353.9442     482.0162    1660.6358     917.8785
      68    7145.9411     773.4643     552.9016     535.2388    2681.0447     467.8124    1238.8644     896.6149
      69    5336.6394     335.7876     354.4224     338.5051    2372.3434     461.1079     920.4417     554.0312
      70    7836.5826     637.7531     517.8308     441.0351    3520.6607     509.6158    1142.8506    1066.8366
      71    7170.6881     574.3318     467.7940     512.6404    2640.4594     509.9177    1410.1203    1055.4246
      72    7375.1515     489.9108     340.4996     336.1918    3764.2957     416.1542    1222.2160     805.8835
      73    8204.8409     646.3831     729.3877     464.0251    3440.0551     674.1076    1646.9157     603.9667
      74    7367.3608     754.2292     496.6564     447.9477    2727.1408     634.5191    1394.3910     912.4766
      75    7014.4196     576.3698     347.2051     353.0460    3254.3401     517.7541    1186.7795     778.9249
      76    5565.4803     321.9384     276.7543     355.2387    2440.9818     476.6523     943.0895     750.8253
      77    7458.9694     652.5979     566.9496     423.4447    3486.5449     547.1520    1163.0356     619.2448
      78    6637.2975     650.6824     531.6243     434.9885    2589.4853     574.8575    1279.5762     576.0833
      79    6404.0371     905.4184     371.8236     266.7458    2772.8370     339.4913    1054.7516     692.9694
      80    5008.3327     332.5050     248.5049     249.6128    2225.8342     377.3910     958.9356     615.5493
      81    5284.6171     563.9160     316.3829     263.1053    2040.6524     382.6435    1124.6069     593.3101
      82    6911.9817     445.1843     421.5415     597.3611    3037.9214     462.1716    1063.8650     883.9368
      83    5119.1864     368.4557     256.1826     265.3663    2251.5444     427.1289     912.4204     638.0881
      84    6593.5126     334.1252     273.7060     307.2779    2931.6426     511.4806    1489.3750     745.9054
      85    5959.8266     405.7438     413.9040     379.2928    2400.0515     554.4638    1193.2732     613.0975
      86    7771.6334     562.7649     428.5766     406.2093    3658.3703     666.1850    1259.4541     790.0732
      87    7031.0117     547.1361     399.7192     446.1867    3089.4423     491.9340    1173.8638     882.7297
      88    5462.9702     313.0099     254.6058     300.9839    2683.2492     446.2602     916.9665     547.8947
      89    5373.9175     495.4643     333.0534     324.3015    2243.6435     409.2536     950.8690     617.3322
      90    6342.6226     734.9853     543.1225     493.9607    2119.1227     333.8788    1301.6869     815.8658
      91    7620.9630     653.8434     358.6969     419.6399    3456.0872     595.7168    1247.6097     889.3690
      92    6727.8846     460.1505     402.9013     443.8967    2531.4591     649.7677    1334.4368     905.2726
      93    6575.5802     425.2154     338.3527     281.8036    3089.3463     479.4006    1183.9371     777.5244
      94    7258.1378     624.5949     721.1603     473.8798    2968.3063     510.7886    1050.9141     908.4936
      95    7178.2038     580.9931     641.8859     535.3005    2591.7098     450.1386    1654.9041     723.2719
      96    6113.7993     308.0402     224.1875     268.8194    2971.8285     451.0728    1207.8777     681.9731
      97    6558.8148     311.5999     217.4998     248.1749    2999.2364     442.8118    1542.1375     797.3544
      98    7499.3844     617.1611     533.7359     396.5361    2851.2567     703.8992    1351.0697    1045.7257
      99    6077.7370     359.4840     455.6271     437.9184    2656.3297     536.5047    1092.1093     539.7638
     100    5322.2684     514.5906     355.8759     378.9606    2011.1743     375.4681     961.9051     724.2938
     101    7517.2273     567.2755     468.1273     543.9623    3087.2117     553.5283    1243.7101    1053.4122
     102    6709.0836     477.5655     313.5285     409.7683    2620.9099     616.7847    1371.0787     899.4479
     103    4494.5017     323.2571     225.1667     229.8179    1869.1455     344.2814    1009.9463     492.8867
     104    7657.0422     803.6558     436.6445     433.1748    3238.1904     625.1062    1506.1054     614.1650
     105    7829.5144     462.7026     448.0994     343.8335    3781.2890     638.9990    1210.1691     944.4218
     106    4665.0377     345.7967     242.8309     263.6214    1868.9653     318.8567    1039.5723     585.3945
     107    7164.8850     589.5660     392.3315     366.5752    2919.8024     560.6138    1389.9347     946.0614
     108    7054.6968     452.9623     526.7076     504.1952    2840.5044     506.4160    1434.2461     789.6652
     109    6213.5658     541.5454     444.8017     357.6565    2946.5364     476.6848     854.3623     591.9787
     110    6004.5323     442.9164     440.0655     459.8588    2294.2209     524.6805    1010.8816     831.9086
     111    7215.0141     684.7969     429.8894     389.6867    3382.3748     468.9391    1026.9275     832.3996
     112    6695.2958     654.2321     493.3156     446.6242    2950.8265     608.4542    1040.5529     501.2902
     113    6086.4567     308.1684     218.2513     260.3199    2514.5392     586.7530    1573.6954     624.7294
     114    5272.5991     344.3007     329.7546     339.5989    2356.1366     363.1770    1071.7126     467.9189
     115    7100.1053     760.1552     595.0932     390.2489    2864.1104     567.8787    1219.2575     703.3614
     116    6223.6573     401.6673     403.2394     410.7310    2831.7535     426.0458    1111.7304     638.4899
     117    7316.1368     486.9453     446.3325     429.9891    3309.2607     623.9065    1172.5463     847.1565
     118    7889.9870     441.3192     416.9336     720.6990    3252.4422     492.3172    1576.4479     989.8280
     119    6951.3606     681.7699     471.7351     425.2323    3309.2223     474.6364     884.2413     704.5233
     120    6415.3170     504.3573     360.3327     371.8927    2217.5706     551.9592    1546.5332     862.6713
     121    5289.3221     400.1927     348.5969     355.6136    1946.3266     515.3535    1117.9342     605.3047
     122    5901.6948     472.2172     278.4311     271.1728    2445.5486     567.3580    1234.9194     632.0477
     123    7180.5146     420.1939     345.3747     348.3922    3621.8425     538.9976    1099.2636     806.4500
     124    7092.5422     492.2725     446.2851     492.2028    3091.3107     489.1267    1453.7159     627.6285
     125    6030.0264     340.5822     278.8938     290.3766    2901.6284     449.4727    1182.8105     586.2622
     126    7102.4237     399.9646     344.2098     349.8646    3264.3632     489.1565    1426.2488     828.6161
     127    8101.0058     725.3456     494.8252     500.3301    3044.8029     515.2216    2035.9565     784.5238
     128    7127.8574     311.8993     259.3111     287.9504    3565.2263     525.5277    1280.9620     896.9806
     129    6415.1213     320.9197     253.2381     370.1935    2560.4378     631.8649    1398.2567     880.2106
     130    4913.5296     366.6290     384.7015     426.1968    1752.0294     328.3191    1050.6265     605.0274
     131    7349.0328     631.1811     523.8503     483.0796    2915.6652     430.7383    1532.2760     832.2422
     132    9492.8353     829.2572     648.4829     422.3892    4419.4641     641.0011    1450.4623    1081.7784
     133    4887.1239     481.6774     308.7036     243.1532    1759.5702     303.1744    1134.6610     656.1841
     134    5633.9853     426.8510     466.8907     389.3882    1898.4587     501.5461    1349.4308     601.4199
     135    6208.2343     494.6929     540.6829     454.5658    2383.2077     496.0778    1008.1006     830.9066
     136    7005.1255     508.5133     462.2986     374.6773    3060.0154     597.3408    1343.1070     659.1731
     137    7376.9345     484.5897     439.4048     363.6049    2807.2846     599.9043    1628.5768    1053.5694
     138    6862.7693     523.9066     517.2540     451.2492    2702.1682     622.2060    1343.6790     702.3062
     139    6660.5542     450.0127     500.8138     514.7592    2704.8330     626.3301    1209.3246     654.4808
     140    6140.4386     604.8854     488.4072     541.0337    2106.9980     342.6514    1341.3029     715.1600
     141    8113.3445     574.6553     522.4489     582.1761    3264.2899     497.2311    1522.9362    1149.6071
     142    5266.1771     344.9210     273.2324     331.0450    2252.4570     397.1482     993.4235     673.9499
     143    6082.4729     446.4482     467.7281     433.9070    2535.2357     395.1686    1087.4388     716.5465
     144    5294.6676     459.1858     306.5599     281.0376    2405.1372     312.8439    1007.8318     522.0714
     145    7108.0799     614.3227     378.8687     352.3340    3184.0903     408.5845    1532.6719     637.2078
     146    4934.0384     335.1286     330.1781     304.5771    2214.9467     320.6333     954.6012     473.9734
     147    7031.8387    1221.8382     448.5735     345.0665    2484.4211     548.2186    1324.6400     659.0808
     148    6884.9395     573.8225     560.4019     403.4692    2659.9501     403.1692    1573.4641     710.6624
     149    6358.0775     350.0333     291.4814     370.6344    2930.1690     479.8278    1023.1639     912.7678
     150    7760.3511     780.6725     489.9923     436.4537    3619.0880     465.2543    1077.8947     890.9955
     151    7309.7388     548.1016     425.6939     428.8905    3275.1459     510.0894    1153.3716     968.4460
     152    6250.8762     507.7915     267.7736     251.7450    2886.1736     341.5045    1072.5902     923.2978
     153    7199.0447     456.0486     255.3070     265.9771    2966.1815     570.8986    1806.2055     878.4263
     154    6850.0733     763.3869     500.2203     336.2538    2523.2200     596.0840    1234.8723     896.0359
     155    6476.0719     469.6254     511.0303     398.4489    2744.1412     506.5281    1158.8762     687.4217
