#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008     SA_00009     SA_00010
       1    7919.4322     528.3052     408.3515     339.1820     465.8635     377.6654    3101.4996     536.8459    1243.2240     918.4951
       2    6886.5418     372.8564     238.1376     215.7302     257.0681     436.9986    2431.7749     559.1169    1425.0739     949.7853
       3    7183.4940     621.8599     333.1718     246.2839     301.7687     341.6624    2875.7673     443.9488    1425.8067     593.2246
       4    5497.6102     314.5290     236.6715     240.1054     241.9004     286.9341    2055.5634     427.2958     956.0725     738.5383
       5    8467.4240     468.1151     531.0391     435.8995     325.9569     386.2871    3147.4356     790.1575    1486.7177     895.8154
       6    6481.4563     412.5789     262.9836     327.3047     374.1734     443.2084    2362.6918     520.6256     982.1220     795.7678
       7    6052.8364     524.3677     324.2856     285.0829     255.2829     332.5632    2301.6074     393.9113    1046.8440     588.8912
       8    5628.5258     353.3650     232.9538     200.0431     217.8670     307.6865    2067.4252     347.3852    1296.2773     605.5227
       9    7762.6281     464.8227     360.1729     262.5340     239.9852     323.5213    2888.6320     645.1256    1645.0916     932.7428
      10    7181.3946     530.9068     433.3259     328.5961     271.5902     293.6100    3006.6186     487.6733    1022.4488     806.6249
      11    6972.2418     399.4953     247.3121     242.4744     375.3162     393.0110    2599.5743     633.2834    1350.7830     730.9922
      12    8150.2697     587.7196     348.2708     267.4244     282.0876     360.2006    3485.7559     468.6065    1727.0618     623.1425
      13    6861.7033     486.4024     351.4860     287.4107     276.3874     316.7142    2953.6141     467.0618    1226.2646     496.3622
      14    6788.7133     450.3772     259.6635     218.5473     306.9020     515.2150    2558.9707     477.3887    1199.4611     802.1878
      15    7699.2608     741.3215     346.6195     241.3938     267.4655     383.2577    3277.7298     441.1558    1089.5411     910.7763
      16    6282.2729     364.5320     259.5948     236.3552     283.2963     335.1111    2116.8739     528.4768    1357.0994     800.9333
      17    8168.6273     487.0585     474.2046     368.7233     304.3278     368.2669    3344.1464     420.1461    1452.7171     949.0367
      18    6877.6981     429.0814     419.7170     365.2771     411.3902     514.3948    2692.1399     411.9364    1097.9022     535.8592
      19    6611.6540     446.2397     349.2892     231.2285     186.9668     191.0252    2633.4646     431.3966    1486.0894     655.9541
      20    7276.6803     408.4773     314.4341     279.3104     204.3600     288.5683    2736.3092     622.2984    1483.2702     939.6526
      21    9500.2472     681.8124     622.2142     509.9902     519.7055     413.3615    3357.3355     555.7422    1914.8045     925.2812
      22    6466.8649     366.6938     305.7365     327.2369     275.1404     299.0089    2403.6508     470.9159    1426.2577     592.2240
      23    5839.0014     560.4652     243.9848     200.6750     204.9540     329.0013    2098.6487     312.5765    1222.5870     666.1089
      24    8647.9210     681.9934     550.7870     445.0961     395.3434     368.8968    3045.3088     729.6216    1614.8459     816.0279
      25    8970.1531     643.1497     829.7261     723.3436     355.4645     337.0419    2985.7291     566.1307    1752.0056     777.5619
      26    6439.7076     509.5954     288.3425     257.1583     267.0271     339.1050    2509.7315     385.4691    1186.2931     696.9856
      27    8288.6980     509.6025     275.3213     259.1948     278.7485     475.1166    3980.2839     432.3030    1255.5517     822.5757
      28    5100.6650     313.1985     236.5662     210.3938     237.8176     326.6839    1926.6242     358.5078     849.4680     641.4050
      29    8190.4231     531.7022     462.2212     625.0307     511.1574     365.4868    2874.5073     506.8765    1427.4571     885.9837
      30    7018.7107     834.3214     411.2646     267.2204     249.6354     307.8631    2702.0726     492.5874    1041.9476     711.7982
      31    7993.9139     695.3453     401.6983     335.8035     368.8129     344.5815    3044.6507     558.3181    1560.6216     684.0821
      32    6258.0649     372.6030     455.9032     393.0330     335.6274     330.0762    2540.1593     435.5747     921.7140     473.3741
      33    7772.7830     324.6189     223.3228     203.2429     276.9519     336.3044    3537.1029     586.5352    1350.5699     934.1343
      34    7262.3683     360.7848     404.2208     365.7381     388.4529     533.9163    2403.5181     429.7930    1451.8368     924.1076
      35    7185.9225     404.2722     272.9603     342.1520     368.8292     324.3571    3102.2526     492.5061    1093.8469     784.7462
      36    6973.5050     833.7957     410.0859     306.8911     274.4719     282.2210    2018.3209     583.4536    1497.7103     766.5547
      37    8307.5696     715.0432     618.9522     634.3598     625.5432     515.9456    2417.3193     493.0003    1316.2232     971.1829
      38    7993.5636     736.8001     571.1345     435.1160     363.3205     340.6064    2852.0624     513.9553    1462.8406     717.7277
      39    7281.9953     434.1088     495.5415     362.0356     254.1980     276.2201    2756.9053     524.4442    1552.5889     625.9529
      40    7274.7088     453.9738     438.4881     485.6520     285.5222     302.1960    2808.7957     499.2388    1301.8625     698.9798
      41    6171.1012     397.9865     316.3480     344.5981     310.4903     316.1586    2477.7363     407.5572     932.0727     668.1535
      42    8712.4075     358.0618     522.5900     671.5888     398.0141     361.2633    3449.3701     532.4469    1623.2014     795.8711
      43    8032.6795     525.9036     336.4037     292.2052     348.2527     369.8102    3452.5214     614.9485    1233.9279     858.7061
      44    8637.8139     605.0384     484.7103     417.2466     324.9799     314.3842    3803.3051     571.9959    1302.8211     813.3325
      45    6717.3745     505.3678     435.0784     281.3754     255.8904     311.2894    2788.0979     473.4767    1191.7595     475.0390
      46    6144.6173     415.6979     457.5805     390.1488     329.4909     305.8489    1951.5771     446.8844    1316.2274     531.1615
      47    9037.4812     648.4461     564.2010     634.1854     555.5773     650.1650    2859.6693     568.8387    1676.2184     880.1800
      48    6053.1646     516.7664     348.3726     249.5718     250.2327     288.8114    2382.3371     458.0787     940.8229     618.1711
      49    7862.2482     760.5977     442.8708     266.8782     247.4529     294.8783    3113.0349     563.0094    1560.2263     613.2999
      50    5534.1533     431.2321     232.1241     196.6565     266.3187     340.0260    2167.8664     417.1595     908.1264     574.6436
      51    7060.3899     493.7167     473.7650     293.4109     390.8749     353.9951    3107.5750     404.7123    1036.2489     506.0911
      52    7827.3115     414.6451     393.5330     358.6747     430.3979     579.8375    2431.6025     477.3396    1787.1681     954.1129
      53    8424.5954     565.2199     479.6309     391.6500     386.8194     416.4744    3503.5073     621.4508    1221.5448     838.2980
      54    7622.7035     461.6146     255.0384     258.1440     391.3042     363.4101    3358.1150     490.2590    1064.6023     980.2158
      55    7560.7565     724.3803     331.0104     233.8508     280.1032     394.2587    2513.7225     491.6985    1585.3924    1006.3397
      56    7063.1317     578.4497     377.8802     530.6348     527.8121     445.9502    2391.7650     464.0554    1055.5174     691.0669
      57    9016.7658     728.6617     875.9987     646.6069     515.0288     445.4746    3067.9707     636.4155    1354.3740     746.2349
      58    5276.5870     303.0977     205.0200     183.7898     209.5509     346.5354    2038.5069     372.5288     975.5013     642.0561
      59    6703.3059     440.9428     324.7939     265.2123     271.8028     247.5547    2901.7541     475.3300    1257.9993     517.9161
      60    6267.8943     315.6722     245.4178     273.2544     291.1790     274.6446    2635.1502     376.4415    1277.5918     578.5428
      61    6403.3096     443.9969     297.5813     383.0964     361.0897     387.1283    2143.5612     529.3800    1376.4282     481.0477
      62    6440.0211     477.9319     380.3728     379.1632     305.8502     340.5747    2360.3171     513.2570    1194.8570     487.6973
      63    7157.3320     632.5691     494.5995     347.3340     327.6541     435.7768    2220.1138     501.8729    1476.2710     721.1407
      64    6032.3072     436.8642     219.1526     229.5347     292.9714     259.8706    2149.9497     474.7195    1168.5157     800.7289
      65    8208.6076     379.8021     329.8911     303.3781     300.8403     417.2217    3419.0040     574.0476    1521.2087     963.2141
      66    5668.6679     329.7473     224.4061     206.3160     207.5951     305.6714    2127.2344     474.8969    1033.3860     759.4148
      67    6791.0677     517.4051     364.8544     442.2817     489.1690     401.5435    2268.2912     479.5568    1173.5663     654.3996
