#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008     SA_00009     SA_00010     SA_00011     SA_00012     SA_00013
       1    9947.5117     526.4275     657.9842     655.1404     682.7988     470.2705     326.7546     277.8779     289.5643    2647.2150     716.2684    1942.2654     754.9445
       2    6557.7597     523.4744     366.1067     225.8675     221.8095     270.6812     322.5082     307.7820     402.9718    2136.1520     363.7333     940.1007     476.5723
       3    7715.0785     587.7650     371.4901     374.9291     257.4761     204.2103     269.4409     263.0749     324.1980    2437.4141     610.2755    1271.7000     743.1046
       4    8352.7453     595.7052     310.2601     256.2819     403.5519     511.6667     392.9236     333.0542     500.0410    1948.2112     439.8021    1756.7743     904.4729
       5    7739.4853     314.2240     254.7865     285.2810     237.6606     263.8579     350.8000     360.6689     326.6071    3000.2882     568.9441    1074.0799     702.2873
       6    8994.8951     574.5358     583.9937     332.3513     286.1621     358.4367     335.0969     281.6640     420.0791    3256.1031     657.5210    1096.4042     812.5473
       7   11629.6813     720.8654     435.5820     484.2126     506.0263     542.4894     456.9080     352.6106     375.0869    4463.2596     722.1991    1500.3411    1070.1003
       8    6153.4332     321.8266     210.0643     179.8400     207.0935     270.4682     328.6793     259.7303     262.4088    2285.9472     312.1773     942.1138     573.0839
       9    9253.3726     920.1933     618.9627     407.1886     280.1145     252.3278     224.7363     229.5650     384.6346    3347.2291     457.2090    1214.6497     916.5621
      10    9380.3860     557.3935     378.0817     330.2987     418.9640     330.7406     427.9419     399.5348     331.4818    2997.2291     601.3343    1622.5869     984.7988
      11    9950.7080     402.6036     445.4531     489.9597     387.8018     580.2563     456.5096     319.7566     330.9856    3337.9727     617.1797    1624.8077     957.4216
      12    9595.4729     502.5110     356.6283     415.2288     496.4205     407.6839     305.9844     322.1121     291.9959    3575.6753     692.3372    1524.4752     704.4201
      13    8436.8721     425.9025     383.8801     332.4904     337.1871     339.6208     470.4263     321.7002     317.5887    2582.2812     507.9010    1509.0540     908.8398
      14    9637.8038     743.8610     410.9271     364.4657     369.3629     358.1348     390.8075     269.6335     261.2526    3298.2830     784.9303    1534.5239     851.6215
      15   10580.4197     567.4598     475.7041     373.3989     405.6840     498.8176     380.0299     507.6546     477.7967    3116.2619     592.4583    2303.7166     881.4374
      16    8536.6910     376.7824     423.5903     483.9340     366.0955     277.1313     184.2637     184.8547     250.0050    2961.5435     447.5044    1620.6086     960.3776
      17    7913.6671     456.6507     343.8862     256.8014     208.6191     204.9745     207.1756     237.1366     359.9223    3056.8159     517.9344    1223.9292     839.8213
      18    8642.1664     459.3053     694.4741     705.3474     426.1772     300.2556     279.3726     336.0961     420.5983    2363.0836     516.8443    1280.8267     859.7852
      19    6743.1346     419.9940     288.1648     272.5197     344.5220     366.6213     361.2755     272.7371     281.3236    2271.7646     437.2113     906.7713     520.2293
      20    8601.5614     696.1248     710.4034     631.1178     423.3885     381.2033     287.8722     320.1832     363.9742    1998.9333     506.0301    1473.5767     808.7539
      21    8711.3031     330.3423     243.7611     228.6099     239.5499     369.3007     357.4293     379.1299     455.2007    3351.9911     616.7309    1218.5887     920.6687
      22    8121.5318     553.0873     473.5138     373.7131     196.3405     175.0543     215.6659     279.4087     394.0973    2654.1755     477.1348    1443.0820     886.2584
      23    9839.1439     564.1752     399.3060     335.9295     528.9708     445.0751     285.4712     245.0209     295.7871    3322.4053     659.6540    1631.9555    1125.3934
      24    9203.6013     482.5225     611.1833     669.0331     422.0761     328.3631     237.4981     211.0865     309.1337    2876.3779     808.9637    1265.5431     981.8202
      25    8611.4495     394.6963     387.7056     413.0216     314.1441     329.4758     341.7910     325.5585     636.8241    2967.0653     648.4168    1072.7078     780.0426
      26    7710.5747     755.9591     589.2964     279.5635     231.1646     266.4128     235.7464     269.1099     289.8079    2205.4833     435.4907    1454.3800     698.1602
      27    9462.3324     556.9015     336.6072     310.9850     497.5424     430.2296     423.2912     416.8374     403.0120    2541.5211     535.6948    2276.7459     732.9642
      28    9605.3060     699.8355     421.8425     520.1521     575.7108     487.8884     421.9929     498.2225     435.2338    3050.6770     648.7625    1161.8702     683.1178
      29    9221.7037     409.9811     369.2962     389.4893     366.3435     334.9850     356.2448     420.7439     400.1437    3290.2084     612.6906    1669.5889     601.9883
      30    7506.7167     545.2211     328.8281     242.9102     193.3587     188.4784     184.0394     179.4329     214.3785    2624.2109     535.4992    1522.7466     747.6128
      31    7796.3005     410.1150     372.3576     386.3813     466.1335     484.5071     484.2027     311.7653     266.2657    1738.5800     433.9753    1656.9587     785.0584
      32    9730.2685     775.2175     635.6405     452.5329     283.6757     337.1356     579.0441     623.3323     422.6755    2905.2005     621.9515    1335.5208     758.3417
      33   12030.4424     943.2565     532.5884     542.0072     608.2477     554.2674     418.9840     387.1680     320.2710    3636.5856     632.6409    2343.8984    1110.5272
      34    8255.3448     378.8868     545.8521     431.1234     293.7446     245.7014     258.4706     334.4966     345.8411    2363.9238     679.4892    1713.8421     663.9732
      35    8997.4044     483.7797     361.8338     251.3816     236.0187     348.7176     437.8427     445.0108     328.3874    2986.5421     790.9625    1542.8899     784.0375
      36    8095.2530     402.6878     429.5883     549.7123     403.6279     254.2827     270.1204     466.2136     486.5933    2469.1963     640.0812    1154.6079     568.5411
      37    8820.0301     500.1111     302.6723     229.4713     215.7845     264.9016     405.4506     552.3320     544.0124    2634.6073     706.1243    1493.8187     970.7439
      38    8310.6052     769.6362     600.4369     427.6286     217.9947     224.2205     226.4753     213.3904     254.6651    2901.4774     464.7009    1207.4599     802.5193
      39    9262.9065     477.6632     285.4803     261.2946     253.5700     210.4633     300.1490     448.1980     386.0112    2912.6389     764.1945    1856.2187    1107.0247
      40    9269.6805     713.4223     649.4107     508.2664     457.1441     303.8701     338.4322     292.3693     321.8893    2527.1225     650.3554    1721.1257     786.2725
      41    8290.8257     511.8459     391.9360     284.5703     473.6391     532.9309     365.8677     263.5706     280.6391    2605.1073     649.9605    1169.2090     761.5493
      42    7877.6720     520.4688     479.5577     423.1678     414.5023     458.5733     306.3523     249.6377     379.2625    2471.2417     459.9823     995.0700     719.8557
      43    9102.6345     316.4224     333.6029     374.9807     243.1142     220.6187     254.7545     411.3760     474.1002    3333.1079     556.1275    1712.5466     871.8829
      44    9705.1382     938.8604     542.4254     366.0573     271.3759     266.9089     318.2819     343.5847     453.6139    3598.7792     577.7609    1235.5395     791.9502
      45    6440.7676     367.7709     304.2759     232.0423     199.3583     175.5785     170.7670     202.6342     296.5570    1872.2553     521.3267    1484.3168     613.8847
      46    9880.1480     396.3940     518.8635     379.8496     375.1978     347.9428     269.1729     385.1835     368.7951    3196.4663     898.6072    1734.4495    1009.2259
      47    8484.4049     582.0181     427.7682     243.8323     242.4934     289.3365     375.5357     355.3116     387.8866    2694.9133     443.8447    1402.6967    1038.7679
      48   10277.4071     466.1190     468.1544     501.9400     612.2657     403.3637     352.9418     499.4198     490.0508    3305.6189     683.4879    1551.8814     942.1638
      49    9777.4364    1112.4596     600.9752     475.6922     391.5570     361.4777     433.8439     405.9452     438.0817    3068.7350     642.2876    1197.9534     648.4280
      50    8917.0488    1028.4303     515.7312     443.0918     480.7811     354.2966     280.3643     229.9854     282.1789    2533.8422     611.8739    1367.0394     789.4335
      51    9142.6198     818.9689     765.2770     390.6630     335.2303     317.0667     269.1435     250.0466     379.3898    2900.8101     594.7253    1269.1055     852.1929
      52    8541.8984     375.4525     312.3756     323.9097     566.3365     490.5668     436.1091     393.1301     344.0266    2407.8335     622.3121    1490.7712     779.0746
      53    8664.8995     345.0577     346.7652     498.2940     477.4396     375.6052     509.5845     488.6209     640.2403    1998.1203     410.7772    1685.8735     888.5212
      54    6558.6561     303.2358     210.0839     217.5915     240.0833     252.6322     259.6143     315.9477     404.0642    2203.0580     473.9240     992.3554     686.0657
      55    9234.9037     547.1700     470.1407     320.7735     294.6958     435.5110     713.9778     532.4265     367.9661    3024.8191     523.9042    1302.0583     701.4607
      56    8779.6793     633.8800     652.6193     396.5841     221.4761     213.8595     202.0854     195.8684     229.1838    2744.6369     730.2520    1761.4488     797.7850
      57    9142.7185     454.1940     518.4964     502.2857     323.0277     370.7965     617.2179     695.8415     523.9393    2254.6820     552.3611    1344.5866     985.2899
      58    8449.4272     701.7777     485.9166     341.2035     267.7891     301.5503     301.6575     252.2664     293.6307    2293.5925     504.5622    1704.5510    1000.9298
      59    8578.4613     369.5355     294.7729     436.7637     443.7170     280.4428     216.1459     263.9119     542.3282    3196.1284     520.9402    1168.2007     845.5741
      60    6876.1640     381.2398     344.8447     422.2648     437.0676     337.1852     197.5426     190.3141     246.1164    2089.5443     365.7969    1130.7353     733.5123
      61    7915.6365     308.1366     201.6365     223.3608     269.9820     431.5524     410.5904     249.5446     424.6585    2713.1340     452.2186    1292.8886     937.9333
      62    7103.6865     695.2940     406.6920     311.3632     204.9516     195.9783     194.9288     211.1228     260.8769    2299.2819     538.4050    1182.9220     601.8700
      63   10090.9469     353.1624     388.0667     534.8958     428.2811     305.8139     342.4173     430.0948     380.9005    3901.8218     580.2224    1558.9834     886.2869
      64    8404.1485     525.0485     509.4687     349.3262     242.3560     325.8029     471.5360     471.9906     345.6660    2938.7970     368.8755    1095.9606     759.3204
      65    9845.7797     682.2625     616.2299     733.3964     517.2924     252.0050     214.5768     260.3950     322.3911    3598.1473     445.9369    1584.0792     619.0675
      66    9092.4838     528.0339     305.9016     337.2146     332.8544     428.2919     567.6793     451.4313     334.4052    2689.4299     815.2979    1490.3642     811.5795
      67    9476.8198     595.6034     356.8524     340.2912     314.5072     218.5427     243.0657     299.4139     414.0344    3415.9433     633.3104    1836.6759     808.5793
      68    9381.6698     603.4937     489.2633     473.2887     484.5872     382.9643     496.7032     372.9276     388.7936    3092.4325     523.9767    1166.5744     906.6648
      69    8625.6208     937.1377     568.8412     341.9000     251.2754     190.4642     189.2987     199.3203     297.3292    2765.1984     740.1399    1637.4234     507.2924
      70    9432.4864     446.2783     401.2994     410.3641     311.1990     378.5275     511.0574     408.2890     346.4789    3569.7627     499.4320    1356.7033     793.0950
      71    8591.8177     362.5371     268.8120     338.2637     291.4266     343.7054     383.5775     326.6184     384.8635    3081.6662     643.7598    1321.7278     844.8595
      72    9122.7862     819.5197     712.7090     615.1236     480.7042     318.9049     344.8339     318.6270     310.3702    2538.5333     571.0268    1289.6635     802.7700
      73    9258.5868     571.4904     481.9056     421.2166     366.0956     265.8901     216.9650     260.7588     452.2495    3409.5576     686.8693    1000.0188    1125.5694
      74    9788.5022     304.4528     200.7126     172.9003     250.7156     352.1926     614.1720     527.0159     324.9615    3524.8301     811.1213    1875.0846     830.3430
      75    7700.5011     475.8194     361.8926     353.2898     429.8860     398.6143     295.5395     221.7079     252.6839    2015.6027     427.7249    1806.3966     661.3434
      76    9687.7304     362.7391     320.8316     383.3299     512.9894     448.2936     377.3239     356.8134     394.3052    3550.4023     707.3499    1364.7726     908.5794
      77    7373.1864     304.7745     198.8510     179.8385     190.1193     203.8114     208.9852     246.3136     334.6412    2898.9272     593.8678    1122.9976     890.0590
      78    5855.5046     450.0504     237.2714     199.3881     185.1536     202.5192     219.1013     202.7712     249.1041    1808.6621     378.6405    1132.9943     589.8485
      79    8187.8943     347.0092     244.3648     328.5009     386.6271     435.1971     374.1001     383.8794     338.3479    2597.3444     597.3666    1585.0075     570.1493
      80    8556.5749     575.8916     527.4133     262.5723     233.5498     259.2937     322.6252     312.0408     271.4251    2946.2508     688.5124    1257.0899     899.9100
      81    8665.1954     324.8394     245.1136     322.7184     369.1464     350.0013     348.8929     480.8125     421.6811    3239.4408     561.9375    1214.0166     786.5950
      82    9545.4170     972.8224     590.0024     497.1902     275.2980     250.0465     237.1383     210.0972     301.6433    3221.3537     539.3797    1640.6076     809.8378
      83    8401.6287     530.9696     246.4079     202.8548     206.4696     295.3565     476.3805     502.8559     333.7286    3243.0975     551.8153    1299.9706     511.7218
      84    9856.7563     542.3222     353.5113     254.3727     413.9320     637.1321     546.5365     287.5873     317.3525    2950.6013     813.1127    2019.3454     720.9503
      85    8556.4273     428.4028     376.0797     378.1257     347.2970     308.8411     278.6218     230.0078     269.1346    2644.1105     659.3515    1690.2025     946.2523
      86    8547.5456     489.4530     477.4280     375.8750     381.8140     265.4428     245.4485     231.8816     259.4256    2888.8085     617.2771    1685.1399     629.5517
      87    8382.1057    1078.1550     492.0782     256.0545     217.5751     225.7297     277.7683     403.2294     441.9322    2755.6602     480.5806    1214.1024     539.2402
      88    9066.2085     484.1348     469.9111     220.1873     185.0499     175.3859     183.3161     260.4471     338.4002    3513.3998     772.6714    1549.3217     913.9833
      89    9225.9012     917.4454     590.5436     710.1388     632.0055     366.2402     315.5789     312.6932     312.4018    2204.8529     428.8065    1574.6137     860.5807
      90    8862.2097     752.1466     635.3826     351.5012     307.2648     410.8733     341.2514     381.0387     583.0814    2278.2796     452.9745    1605.2122     763.2035
      91    7147.0353     396.1033     311.4619     204.7799     190.3843     192.8294     239.7099     239.0588     337.1573    2347.4132     541.4239    1435.2856     711.4278
      92    7891.5957     361.3092     236.5112     216.4994     274.8103     346.7208     366.8782     330.5196     429.7429    2831.2524     516.5055    1186.3811     794.4650
      93    8676.7702     338.7729     257.4915     286.4487     279.0172     335.8555     642.2417     651.3809     512.6031    2497.8977     519.2774    1646.5107     709.2730
      94    7493.1342     527.5048     259.0145     226.2219     225.0799     207.1456     190.8732     196.7585     339.9894    2682.4330     493.6920    1281.2951     863.1263
      95    7175.2145     480.6361     237.3174     213.8182     201.6719     224.5906     446.4193     477.8639     483.5507    2173.0081     436.6238    1114.1154     685.5992
      96    8892.5750     450.2919     530.0404     457.3455     274.0906     283.6843     398.4887     460.9339     450.9846    3082.5238     521.1420    1176.9425     806.1067
      97    8096.5373     429.3274     308.5167     252.9984     239.4805     239.3606     334.0828     502.2350     467.8492    3109.1461     444.3683    1000.4377     768.7347
      98    9730.4280     747.6180     446.6741     416.8580     425.4716     405.8621     298.6360     260.6287     385.5478    3445.7516     623.5152    1102.8157    1171.0494
      99    8051.7104     342.5334     259.2141     284.5831     252.4599     217.1107     225.3374     283.5841     313.5408    3410.0349     487.8152    1213.5518     761.9451
     100    8671.1780     877.6488     626.9544     285.1291     245.6689     238.3070     256.1752     268.9090     335.8738    3211.1174     439.4541    1170.5923     715.3481
     101   10793.5656     427.0567     452.7016     489.9905     416.9983     559.0706     553.4822     465.3994     398.5083    3610.6013     588.2421    1545.7793    1285.7355
