#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007
       1    5978.1362     339.1311     263.2267    2858.4953     554.5221    1032.1540     930.6070
       2    5546.8142     348.5347     403.8030    2099.4841     518.7399    1381.5904     794.6620
       3    6017.0922     381.9040     349.4157    2923.5160     498.9720    1108.3490     754.9354
       4    6466.2838     359.6719     350.8476    2964.1667     485.8897    1443.3680     862.3400
       5    5556.9615     537.0334     525.0597    2225.9124     370.2848    1069.5029     829.1683
       6    6639.2578     616.9882     430.4839    3098.0592     418.5253    1479.0742     596.1271
       7    4705.5897     310.1313     276.1012    2088.3283     412.9845     974.5700     643.4745
       8    6469.8158     395.7482     333.4873    3153.8966     526.8217    1346.5826     713.2794
       9    6355.1559     321.9600     442.2667    2897.0411     510.3934    1226.0748     957.4198
      10    6125.0296     382.4422     427.3370    2773.2212     582.8594    1121.8018     837.3679
      11    6283.7455     497.7251     359.9520    2748.2655     491.2862    1471.0270     715.4897
      12    5708.0369     609.2730     521.6640    2232.1788     468.0970    1264.3369     612.4873
      13    5527.8251     353.0125     317.2436    2800.5638     368.6748     963.0625     725.2680
      14    5694.3565     372.4758     466.4244    2511.6226     438.9668    1015.5393     889.3275
      15    8400.7380     687.6788     477.2510    3796.2769     727.6839    1627.0013    1084.8461
      16    6629.2479     540.6670     463.7156    3152.5066     430.0601    1289.5858     752.7129
      17    5959.1041     328.4267     274.4457    3016.0161     392.1064    1112.6662     835.4430
      18    6096.8565     312.4644     262.9193    2737.7082     567.3691    1607.1654     609.2302
      19    5686.4735     425.6163     345.5094    2611.5732     440.2040    1092.5766     770.9940
      20    5927.5637     451.8803     411.2852    2761.1655     511.9606    1255.2935     535.9786
      21    5722.4217     569.6433     571.8469    2169.3928     417.8016    1398.1231     595.6141
      22    5551.6786     554.5211     399.1652    2341.8959     454.4438    1025.2982     776.3544
      23    5332.8511     430.3235     297.2238    2266.1779     538.1941    1165.3001     635.6316
      24    7426.0013     616.9611     591.6428    3238.2659     559.8353    1728.0456     691.2506
