#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008
       1    6630.2467     653.3755     500.4337    2473.4351     303.8480     344.1109    1577.8777     777.1658
       2    7287.7804     379.5472     350.4574    3179.5040     567.9399     538.2258    1393.5706     878.5357
       3    5031.6609     568.3024     417.0991    1901.3968     272.9762     232.4993     923.7267     715.6603
       4    6132.2407     792.4405     436.7015    2201.1429     495.2721     355.7765    1058.6425     792.2648
       5    7436.1768     639.1054     420.8722    3281.9615     631.9443     471.2000    1168.3752     822.7181
       6    7199.5626     759.9661     587.8093    2634.5309     559.1799     585.9004    1457.9159     614.2601
       7    7865.1894     501.8618     397.1777    3635.5790     456.0530     486.1703    1678.1871     710.1606
       8    6739.8683     616.2151     545.8570    2824.0224     343.1967     349.3048    1329.9619     731.3104
       9    6857.1390     468.2828     350.4803    3455.0231     377.3208     305.2845     979.7338     921.0136
      10    7240.1023     654.6761     578.9902    2428.9835     426.8678     374.6226    1714.9540    1061.0081
      11    6689.6969     329.8511     307.1580    2697.4526     656.2284     554.0214    1292.4112     852.5743
      12    6214.3541     497.4179     360.3421    2770.9604     416.8162     472.8362    1137.6833     558.2981
      13    6993.7084     338.8123     324.2308    3248.3075     538.0100     381.0099    1236.5593     926.7785
      14    5571.4469     741.8902     413.6613    2069.1828     284.0223     234.8416    1094.6047     733.2439
      15    5522.2690     317.1233     293.0917    2243.9883     561.0577     410.1326     957.5392     739.3362
      16    6752.1213     455.3696     437.6583    2849.0005     376.2321     362.1666    1525.0885     746.6058
      17    7214.1602     413.0299     515.0706    2755.9425     601.8359     508.3334    1694.5890     725.3588
      18    7829.4111     423.8222     491.1615    3527.8590     417.2542     351.9062    1699.7522     917.6558
      19    5614.3079     456.0381     341.3449    2398.2420     332.0665     250.5308    1360.2087     475.8768
      20    6597.9616     376.8296     577.4902    2654.9983     412.5902     335.2693    1438.5548     802.2293
      21    4891.9453     312.9086     262.0853    1834.9469     469.3254     355.5778     947.4670     709.6343
      22    5568.9069     314.8215     341.1386    1987.9321     394.7232     328.1142    1469.0538     733.1234
      23    7168.5173     376.8980     363.6729    3413.2506     389.3801     372.7257    1523.4370     729.1530
      24    8156.7669     730.8398     527.9682    3373.4852     450.5857     431.9474    1746.0238     895.9168
      25    6336.0516     421.4104     457.0621    2599.9629     497.3660     368.3195    1252.4574     739.4733
      26    5640.6296     363.1267     269.4567    2423.8142     404.4753     376.7111    1148.8590     654.1865
      27    8001.7299     600.4772     482.0228    3461.9500     462.2324     439.7413    1990.7279     564.5783
      28    5752.3381     384.6050     305.4947    2681.6092     322.1578     377.6041    1008.1488     672.7185
      29    7351.0961     383.9780     414.2986    3337.2432     455.4306     343.2625    1436.7256     980.1575
      30    5682.9814     347.0638     296.7388    2420.7409     382.2925     347.5299    1276.5880     612.0275
      31    8251.1904     442.4990     417.6275    3894.4715     600.7464     497.5439    1324.1836    1074.1185
      32    6861.1378     403.2492     368.0810    2554.6982     592.2413     501.5208    1691.6521     749.6953
      33    8369.2236     905.3849     558.6751    3622.5678     439.7391     388.1146    1510.6203     944.1217
      34    7850.2367     554.2145     493.0717    3601.9952     501.5859     584.2226    1206.6233     908.5236
      35    6101.9974     459.4807     320.9509    2536.0598     498.6770     404.1285    1102.8696     779.8308
      36    7426.3395     756.8526     465.0122    3118.6988     534.3101     454.2048    1238.4665     858.7946
      37    6156.5111     374.2212     322.1306    2447.5124     494.0405     384.4548    1350.2133     783.9383
      38    7151.5480     413.8320     405.3194    3325.2147     549.3352     449.9743    1457.5730     550.2994
      39    7101.6164     637.8193     515.7321    2519.0105     713.4458     635.4375    1516.2031     563.9681
      40    7443.0179     603.6474     424.5379    3021.6729     575.5022     402.5389    1658.7680     756.3506
      41    7627.0812     608.7144     515.1171    3108.8502     614.5721     480.2449    1305.0270     994.5556
