#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008     SA_00009     SA_00010
       1    8175.1061     511.1600     332.4122    3337.6544     374.2884     351.8825     465.6434     401.4145    1485.5581     915.0926
       2    6547.1933     345.0390     302.2958    2321.7580     384.3199     406.2476     434.5122     389.6248    1345.5706     617.8255
       3    9525.8543     571.6074     552.4756    3218.1816     601.4058     638.6750     913.0829     723.4771    1434.3358     872.6131
       4    5993.2499     436.5195     400.2499    2446.4245     388.8038     239.8738     215.0813     249.0150     878.4242     738.8579
       5    8655.7343     425.3893     590.3894    3253.7944     547.1026     422.9503     480.6150     507.3238    1477.4457     950.7237
       6    6910.0465     834.4214     367.2296    2637.7968     334.8858     345.2380     389.8008     365.9634    1072.8289     561.8818
       7    6910.5733     375.8003     508.9652    2428.5373     505.3782     331.1680     272.3630     395.9629    1309.4952     782.9034
       8    8810.3928     703.8543     419.9721    2815.8023     468.7964     555.5997     903.7885     731.5370    1482.1781     728.8644
       9    8151.3165     312.1662     260.1745    3216.2216     687.9910     458.2155     300.6649     315.6234    1579.5020    1020.7575
      10    5840.4922     421.7161     276.7764    2271.8875     435.9287     344.5103     242.7788     258.1613     948.8867     639.8465
      11    7108.4689     474.1729     346.3947    2490.4269     458.8526     325.7024     417.9735     500.1482    1434.0082     660.7894
      12    7793.5456     438.1129     399.0836    2827.1835     531.5625     433.2117     260.9877     275.2916    1714.7259     913.3863
      13    7129.6832     368.9048     398.0213    2914.3704     419.3105     327.1037     350.4011     467.0018    1122.8068     761.7627
      14    8534.0979     723.6021     528.8156    3221.3618     429.9702     275.4618     357.5392     506.9230    1520.4650     969.9593
      15    7048.6829     440.5094     523.3202    2472.8101     414.1238     466.7232     545.4633     416.4779    1174.4370     594.8180
      16    6757.3662     334.4228     288.4278    2877.5077     530.7762     265.2264     208.5412     224.0277    1108.4961     919.9403
      17    7966.4619     384.2023     358.1850    3102.0613     495.7133     446.0670     616.3816     489.8735    1196.0406     877.9373
      18    7715.7205     459.4506     497.3929    3031.4439     416.5254     294.8281     313.5258     422.8006    1544.6351     735.1180
      19    7558.7020     581.7004     508.0537    2526.7245     355.3691     341.2693     449.2805     407.5264    1583.6915     805.0866
      20    7404.3704     356.8783     369.6643    2555.8476     652.6742     405.7643     434.7245     513.4350    1244.3685     871.0137
      21    8646.1021     698.6308     548.1932    3334.8639     525.1217     384.7754     247.4754     291.3636    1542.8037    1072.8745
      22    6375.3467     327.6274     283.5960    2259.3251     548.6893     355.4961     309.7417     279.3191    1337.6199     673.9322
      23    8615.6435     455.7624     313.1444    3341.6206     491.0885     596.8609     589.5903     580.6535    1376.8035     870.1194
      24    6314.2279     395.1617     329.8263    2241.4444     416.2223     319.8271     253.5673     248.2841    1267.8473     842.0474
      25    7579.1465     727.4055     458.2562    3353.4375     416.3360     303.5911     330.9457     343.9109    1065.0452     580.2184
      26    9602.5970     622.7018     588.8456    3663.6428     569.3316     477.5409     347.7283     481.2535    1816.6453    1034.9071
      27    9402.0967     463.6813     570.1413    3577.3708     532.3970     503.1026     636.0117     584.6204    1627.4354     907.3362
      28    8616.5667     400.1009     487.4750    2991.4472     558.5717     453.0771     589.9926     673.1968    1753.4509     709.2544
      29    6839.9522     373.2024     362.2930    2460.8760     435.5058     563.0729     483.5961     366.1425    1178.1134     617.1499
      30    7845.3676     657.2511     503.0635    2764.5055     737.6761     415.6703     331.7052     331.7597    1435.1065     668.6298
      31    8464.2272     590.2753     510.9450    3514.5986     469.5858     492.6358     397.1385     348.6173    1426.6761     713.7549
      32    6689.8299     405.0781     356.1284    2037.9684     413.9723     296.2320     316.4466     406.8327    1791.7308     665.4405
      33    7678.1693     416.8627     336.0554    2547.3753     528.2594     389.1206     255.0814     324.9169    1819.0575    1061.4400
      34    7099.0440     554.5999     490.3184    2618.5603     403.6129     281.6948     287.8300     308.9924    1331.1233     822.3120
      35    8366.1567     523.1830     413.6309    3499.4230     612.9498     362.8763     533.5630     513.0351    1289.9674     617.5282
      36    8092.1815     338.5256     441.1593    3181.8303     438.7884     299.7921     263.3694     368.5015    1816.9146     943.3003
      37    8430.6724     330.5260     330.8948    3206.8994     546.9546     430.2997     412.0453     483.6372    1520.4508    1168.9646
      38    8230.7683     356.9548     278.2621    3001.3845     492.5548     578.5953     368.2502     490.0539    1858.5165     806.1963
      39    9465.2803     478.9263     467.7733    3398.5317     743.3666     528.6356     589.4156     793.8060    1800.5029     664.3223
      40    7127.6602     487.4301     392.6240    2514.7998     391.3850     318.6950     310.6058     380.4032    1515.2970     816.4203
      41    7446.7065     404.9203     470.0560    2743.3856     417.6609     282.1918     358.5544     395.8924    1586.7882     787.2568
      42    8073.9804     488.5867     609.6293    2723.6181     540.4350     420.8103     334.6148     321.9200    1809.5700     824.7963
      43    7492.5794     821.4615     598.7183    2104.4649     605.3241     489.8917     291.9800     310.5897    1366.1160     904.0333
      44    6300.0673     335.2398     300.7761    2646.6356     405.6167     287.5506     302.3087     289.6687    1055.3045     676.9666
      45    7398.1317     561.9369     481.4761    2726.3056     427.9480     342.5751     311.9533     293.9152    1290.6023     961.4192
      46    6751.3102     408.6020     408.1241    2687.4182     413.3654     235.8836     214.7302     249.0133    1229.2050     904.9684
      47    8869.1819     464.9569     429.8229    3610.1223     540.9367     643.8541     440.4765     449.3776    1299.5606     990.0741
      48    6577.3170     434.3160     316.6770    2367.6224     425.4872     347.6542     326.8627     364.7854    1428.7811     565.1309
      49    7847.1533     311.5118     340.9889    3419.9293     308.1877     238.1208     384.5727     576.7106    1546.8932     720.2384
      50    9150.7767     580.2529     449.8881    3845.1992     641.7531     489.1771     301.1245     431.5454    1264.1569    1147.6795
      51    6631.6378     519.4035     448.3064    2557.4821     391.8124     278.4256     295.7999     295.3590    1323.3909     521.6580
      52    7760.2100     408.6652     361.7138    2828.2035     578.8575     340.8730     378.1030     447.3865    1601.6440     814.7634
      53    6645.2535     378.6169     365.0953    2127.6752     539.8593     401.4640     288.2526     296.3565    1450.0399     797.8937
      54    8113.6648     514.1547     414.6701    3521.5544     407.4168     304.2975     324.5844     474.4593    1364.0997     788.4279
      55    7526.8811     602.9186     381.3004    3192.3936     330.5135     295.2264     380.4204     356.7114    1148.4680     838.9287
      56    9681.4770     692.7031     564.6339    3560.7266     891.8464     544.9157     471.3385     471.9238    1505.5776     977.8113
      57    5881.3723     413.3164     337.2541    1919.8654     400.9526     297.3569     276.9808     344.8340    1265.5625     625.2497
      58    6274.6513     310.7423     256.4269    2164.1159     576.3443     409.7007     433.3903     346.7196     957.8607     819.3505
